 	non	ho	cosa	è	da	mangiare	</S>
e	0.9975222	0.0022551848	0.00016958053	1.0331346e-05	4.0300612e-05	2.2335742e-07	2.1013716e-06
n	0.99099076	0.008114975	0.0008784133	1.5102324e-05	6.04305e-07	3.0043793e-08	8.810241e-08
è	0.33710966	0.6464414	0.016252013	0.00019041233	6.463491e-06	6.6479093e-09	6.0603117e-10
c	0.16414115	0.45035774	0.3806149	0.004698477	0.00018516392	7.1223127e-07	1.8873645e-06
h	0.08709164	0.20343035	0.647617	0.054393303	0.007453357	3.629202e-06	1.0717496e-05
o	0.028336165	0.28347015	0.65203875	0.033267844	0.0028723527	1.2832047e-05	1.9780882e-06
t	0.040917333	0.21722275	0.4685543	0.18806896	0.08504566	2.880409e-05	0.0001621524
i	0.06359196	0.42139074	0.47288242	0.040942997	0.0010947542	4.3992946e-05	5.321538e-05
è	0.039219234	0.05307867	0.16711575	0.37487546	0.3646147	0.00015770605	0.0009385199
n	0.03141029	0.04092176	0.12571408	0.36166096	0.4276761	0.0023020175	0.010314769
a	0.14190449	0.11839153	0.13342127	0.17178173	0.42743406	0.004645287	0.0024216503
f	0.05041541	0.052597452	0.06537982	0.15325096	0.43266198	0.21372779	0.031966627
à	0.10336417	0.1834023	0.3187107	0.092302695	0.14206897	0.11071537	0.049435783
o	0.02010151	0.021113154	0.029272437	0.08859221	0.24488653	0.3661733	0.22986084
</S>	0.027947797	0.02852682	0.033384833	0.06758282	0.19684261	0.47963697	0.1660781
