 	le	ragazze	vogliono	guardate	</S>
t	0.99644935	0.0034627041	8.709779e-05	6.818966e-07	1.3232449e-07
a	0.99265504	0.007292293	5.2688694e-05	2.3182315e-08	1.1077577e-09
k	0.64684427	0.35315388	1.8560086e-06	1.2347716e-08	2.0457929e-09
o	0.9250024	0.042061	0.03219678	0.0007054113	3.4539735e-05
r	0.16204874	0.8335114	0.004439105	2.47839e-07	5.014193e-07
à	0.285838	0.5978986	0.079571165	0.031463187	0.0052290233
s	0.10014636	0.65736324	0.24248223	4.7015146e-06	3.4110626e-06
i	0.18826331	0.692973	0.11835379	0.00017704918	0.0002328083
a	0.070420355	0.29773155	0.6317555	7.365633e-05	1.8890856e-05
t	0.048299443	0.11784923	0.8220336	0.0038246508	0.0079930965
è	0.13017084	0.144875	0.5521847	0.08901282	0.083756685
l	0.055172358	0.0842951	0.71025616	0.13456821	0.01570818
o	0.05514437	0.107302934	0.81068826	0.008273835	0.018590514
n	0.06239047	0.06717687	0.2333158	0.55628216	0.08083468
e	0.0668646	0.07612921	0.41198793	0.17117701	0.27384117
k	0.033845693	0.035990365	0.11164462	0.63731605	0.18120328
a	0.13114993	0.028471956	0.05825669	0.09237016	0.6897513
n	0.020962771	0.021974897	0.07161929	0.42728767	0.45815545
o	0.020569894	0.022940164	0.10952694	0.42091036	0.42605263
n	0.02130577	0.022156492	0.056758266	0.41494444	0.48483503
i	0.026310233	0.026716737	0.044158608	0.31898156	0.5838329
m	0.03250729	0.021996103	0.04094866	0.42868137	0.47586656
m	0.09037476	0.028122883	0.032076158	0.24190816	0.6075181
è	0.12563659	0.31358397	0.059455466	0.005520544	0.49580342
n	0.023710381	0.024267327	0.04032891	0.3403545	0.5713389
a	0.17396778	0.052129336	0.10287986	0.5116397	0.15938331
</S>	0.058260527	0.05816308	0.061787255	0.15421325	0.6675759
