 	avete	fatto	già	le	verdure	</S>
i	0.99262893	0.0071721366	0.00019011211	4.67725e-06	3.9353504e-06	7.301732e-08
k	0.87638414	0.12346306	0.000102346195	2.7564959e-06	4.7287383e-05	3.9338337e-07
à	0.15302241	0.8446947	0.002252406	2.8355666e-05	2.0704128e-06	1.9352764e-09
m	0.35117635	0.646484	0.002338704	1.3346919e-07	7.0197785e-07	1.6330885e-07
a	0.2341667	0.7640667	0.0017551507	6.5634867e-06	4.8333154e-06	3.3409993e-08
t	0.1783988	0.7365653	0.08503209	2.4915823e-06	6.97439e-07	6.0962265e-07
o	0.20769486	0.76652104	0.022050045	0.0021460925	0.001586389	1.5085972e-06
g	0.13863252	0.27281618	0.5880953	0.00038583277	5.942973e-06	6.416159e-05
i	0.21106	0.47726753	0.07525507	0.17982537	0.051196236	0.005395829
à	0.072057195	0.102019936	0.708176	0.11593177	0.0009928787	0.0008222125
t	0.045244187	0.07255064	0.6082253	0.26349735	0.0004468638	0.010035612
a	0.1150172	0.13731395	0.5485682	0.1264563	0.053913392	0.018731002
l	0.061719872	0.06524631	0.1737887	0.61242825	0.07652957	0.01028731
à	0.053143032	0.062950134	0.10397094	0.09999397	0.58109736	0.09884455
c	0.025696168	0.026554566	0.05393289	0.39600548	0.052334927	0.44547606
h	0.03746388	0.035830475	0.09331459	0.5522213	0.19873273	0.08243708
a	0.17701507	0.15580103	0.10098996	0.4120845	0.14591154	0.008197897
n	0.026638893	0.027018957	0.035193905	0.21839352	0.10223271	0.590522
a	0.042115975	0.03957342	0.059444904	0.36473203	0.18036544	0.31376827
</S>	0.0335215	0.033681724	0.03702009	0.10972844	0.051310945	0.73473734
