 	dei	genitori	</S>
à	0.99725866	0.0026911362	5.013742e-05
t	0.9135428	0.06765927	0.018797906
t	0.8307743	0.16130058	0.007925153
u	0.9999958	2.9152825e-06	1.2715634e-06
s	0.96686924	0.029938739	0.0031919603
g	0.39001784	0.3425313	0.2674508
e	0.99956495	0.00024121087	0.00019391415
n	0.07996197	0.33862358	0.58141446
i	0.028648775	0.70917964	0.26217163
t	0.01041004	0.4342423	0.5553476
ò	0.065554745	0.3558253	0.57861996
r	0.031725727	0.26414523	0.7041291
u	0.03205921	0.3597941	0.6081466
</S>	0.045996416	0.10505062	0.848953
