 	ha	che	sono	usciti	</S>
è	0.9975044	0.001680452	0.00071171136	0.000100839185	2.570455e-06
n	0.9612084	0.03860733	0.00013075961	3.106023e-05	2.25063e-05
a	0.50162846	0.28387383	0.20929849	0.0014738414	0.003725339
g	0.221624	0.7453004	0.021770522	0.004560738	0.0067442944
u	0.08178076	0.6116381	0.15300566	0.08528284	0.06829265
ì	0.04067786	0.12809348	0.5195382	0.16868661	0.14300375
k	0.04698502	0.07704952	0.57309204	0.16895162	0.1339218
a	0.17462891	0.59051144	0.06933339	0.092526756	0.07299949
n	0.046133213	0.053840958	0.22978878	0.33412397	0.3361131
e	0.021677867	0.025954828	0.1416993	0.31192672	0.49874124
</S>	0.04901	0.05001448	0.075383686	0.1451638	0.680428
