 	mio	padre	ha	lavorato	sempre	</S>
o	0.73590446	0.26403728	2.1159047e-05	3.694291e-05	2.0018943e-07	3.8568558e-08
c	0.5266249	0.47336188	1.0918723e-05	2.0599937e-06	3.3919985e-08	1.1967661e-07
i	0.16348815	0.7779021	0.058541115	6.8442976e-05	6.818521e-08	7.0103807e-09
ù	0.04761949	0.7736887	0.178644	4.7826303e-05	1.5270526e-09	1.5429599e-08
r	0.08518826	0.55312735	0.3615501	0.0001332506	5.6330155e-08	1.000553e-06
i	0.15606506	0.7515325	0.09145757	0.00094442756	1.0385482e-07	2.630936e-07
m	0.094717585	0.2941233	0.6109177	0.00024131	5.1642415e-09	1.3742834e-07
m	0.36158535	0.26197785	0.32610536	0.04961373	0.00047243995	0.00024530452
u	0.88577384	0.05945354	0.04197337	0.01269756	6.627859e-05	3.5348516e-05
è	0.07433214	0.16907495	0.73804325	0.018488199	3.276543e-05	2.8696035e-05
p	0.046489276	0.15358958	0.7505188	0.04912585	2.5192989e-05	0.0002513574
o	0.0764071	0.115104236	0.7106129	0.09454342	0.0005825019	0.0027497932
l	0.12413834	0.13581832	0.33020407	0.39655197	0.0024420316	0.010845266
e	0.06436827	0.038300168	0.14260824	0.6836186	0.037544247	0.033560503
m	0.12435441	0.1285458	0.21006753	0.4323005	0.028537944	0.07619388
i	0.07015678	0.019998806	0.05032182	0.5286047	0.21628681	0.114631094
m	0.07487396	0.07684218	0.11122176	0.25445595	0.12215452	0.3604516
m	0.048327584	0.017864548	0.03262806	0.2397157	0.50296295	0.15850116
è	0.17354488	0.0015774729	0.0011194746	0.4592716	0.34760442	0.01688208
n	0.039032146	0.039742444	0.04983421	0.09756944	0.16446617	0.60935557
a	0.04191392	0.04185888	0.09494722	0.23149	0.37921625	0.21057378
p	0.025736377	0.026065707	0.030686634	0.04545215	0.42942566	0.44263342
à	0.038208693	0.02123466	0.024428716	0.06883551	0.6037839	0.24350855
n	0.020470984	0.020691505	0.023868851	0.038909987	0.38824928	0.5078094
t	0.042400006	0.040946525	0.0470907	0.07512269	0.51615334	0.2782867
a	0.4875622	0.0038057482	0.022240292	0.27241844	0.16901198	0.044961322
</S>	0.02893778	0.02898648	0.029797155	0.033415306	0.28006268	0.5988006
