 	mia	figlia	vuole	andare	</S>
i	0.9423856	0.05712563	0.00048070645	7.578222e-06	4.069145e-07
k	0.10708737	0.8929043	7.9414e-06	2.0382222e-07	2.2198073e-07
i	0.83842987	0.15397164	0.0069278367	0.00067008013	5.5964654e-07
a	0.25821775	0.7411575	0.0006235683	5.500229e-07	6.376965e-07
t	0.10697857	0.81905484	0.07394917	1.0595833e-05	6.774139e-06
è	0.48999125	0.34107664	0.08214982	0.08644294	0.00033942252
r	0.13077012	0.7241474	0.14450195	0.0005456435	3.4905246e-05
a	0.11675303	0.6835221	0.19888227	0.0005403545	0.0003021489
m	0.06295191	0.16804342	0.7637548	0.004893851	0.00035607733
u	0.16869256	0.30629495	0.35979408	0.114867486	0.050350934
i	0.056864947	0.0836875	0.64490604	0.20197847	0.012563062
t	0.05170525	0.061148033	0.32721734	0.5281884	0.031740997
è	0.102629185	0.12018265	0.21966241	0.28948194	0.26804382
l	0.032762945	0.037731845	0.18112859	0.6119055	0.13647105
i	0.024869012	0.03075049	0.19050251	0.4074355	0.3464425
n	0.03498237	0.03584136	0.058274724	0.452434	0.41846755
a	0.029935945	0.030512124	0.068796456	0.4718309	0.39892462
p	0.030286115	0.030995911	0.048695818	0.38899583	0.5010263
à	0.06283734	0.056820977	0.059030112	0.3805006	0.44081098
i	0.023860956	0.024491327	0.04131531	0.33789176	0.5724407
</S>	0.028478902	0.02889209	0.039633572	0.28210658	0.6208889
