 	devo	pulire	l	albero	</S>
è	0.90554327	0.09094027	0.0035140798	1.812255e-06	5.649019e-07
n	0.8772539	0.12249526	0.0002501813	4.568222e-07	3.330067e-07
a	0.39297828	0.59710735	0.0091794785	0.00073420414	6.592013e-07
k	0.021990852	0.93962604	0.03830602	7.552072e-05	1.620595e-06
a	0.22838001	0.33586383	0.43080455	0.0045404946	0.00041118788
t	0.08035723	0.552832	0.3666641	0.00010627586	4.0354465e-05
à	0.14775701	0.6368772	0.21271506	0.0010164338	0.0016342667
r	0.0519203	0.2614575	0.6463763	0.03856494	0.001680972
o	0.052581456	0.36848792	0.5395543	0.0104654385	0.028910909
t	0.1150503	0.20313561	0.5855464	0.05932312	0.03694461
o	0.1218348	0.1569298	0.7021504	0.0045538438	0.014531034
n	0.122415505	0.13937053	0.22670828	0.15940675	0.3520989
à	0.042331725	0.05744907	0.13194059	0.16900584	0.5992728
r	0.022005158	0.02513908	0.04072097	0.48088247	0.43125236
b	0.035932727	0.044447098	0.09102338	0.43178046	0.39681634
u	0.293963	0.027782602	0.5842807	0.09166172	0.0023120013
r	0.02024081	0.021343742	0.026489012	0.42396405	0.50796235
o	0.20776543	0.1810178	0.28151086	0.13202626	0.19767964
</S>	0.029694755	0.02972876	0.03177626	0.2586744	0.6501258
