 	vivendo	la	mia	figlia	la	avevo	portata	alla	chiesa	</S>
z	0.7894958	0.20656161	0.0027270145	0.0011877997	2.4393543e-05	1.7403071e-06	6.2403467e-07	8.449052e-07	8.749181e-08	9.776729e-08
ì	0.3282601	0.6634072	0.0066566556	0.0016756636	3.63314e-07	6.2196964e-10	1.3231288e-10	4.7214427e-11	8.1747435e-11	1.7341146e-11
s	0.10220253	0.8225233	0.07495472	0.00031922766	1.6288669e-07	2.0297273e-08	5.9214656e-08	2.6414028e-08	1.5791018e-08	3.4732606e-10
o	0.33374587	0.5825548	0.0719244	0.011774421	5.1714215e-07	2.598305e-08	6.975455e-10	4.063357e-10	1.4145113e-10	1.6563568e-11
n	0.12691143	0.66718805	0.2047975	0.0011028547	1.7815694e-07	2.0640505e-09	1.381642e-09	7.468968e-10	2.1284012e-09	2.0273108e-10
t	0.10286611	0.22623105	0.6263151	0.04351101	0.0010760229	6.754793e-07	2.6497948e-09	6.7785116e-10	1.7317123e-10	2.0857453e-11
a	0.7699261	0.104502596	0.11206977	0.013430015	6.915216e-05	2.4058638e-06	1.6476048e-09	1.1173121e-08	1.1092829e-09	1.9527939e-10
e	0.04055194	0.07594029	0.42686865	0.45393774	0.0027002709	1.0769371e-06	6.21666e-08	1.6603462e-08	1.931453e-09	5.30337e-11
k	0.03998772	0.051882215	0.22728062	0.58415204	0.09659343	0.00010061968	3.0803365e-06	2.8970618e-07	2.975272e-08	5.8234273e-10
i	0.7353612	0.12570626	0.07852716	0.044633303	0.014979673	0.00075602584	2.6329837e-05	9.949924e-06	6.3665354e-08	9.305467e-09
a	0.036405277	0.047781676	0.23369186	0.60193104	0.07983351	0.00035177256	4.5614593e-06	2.7207642e-07	2.5167141e-08	9.785651e-09
t	0.034137186	0.039579473	0.12206805	0.47200283	0.33058175	0.0015885227	3.927689e-05	2.8717134e-06	3.0721377e-08	6.10223e-09
è	0.2609713	0.1600789	0.12753491	0.16888364	0.21145745	0.042988908	0.027147371	0.00091466843	2.255242e-05	3.5191442e-07
r	0.03811183	0.04012288	0.07211086	0.28390837	0.523257	0.04247059	1.5015228e-05	2.9773096e-06	6.930662e-08	3.4696967e-07
a	0.02234173	0.026002062	0.089291565	0.32346755	0.43530902	0.10119696	0.0020419096	0.00034780958	1.1936563e-06	1.240046e-07
m	0.07184705	0.07298327	0.090032555	0.20929874	0.47416744	0.08025104	0.0013614558	5.774825e-05	2.7044308e-07	4.5343032e-07
u	0.05783458	0.052311968	0.05581877	0.1272688	0.34981582	0.22356217	0.127497	0.005425336	0.00045833256	7.2551807e-06
i	0.066219516	0.06643388	0.072231784	0.11352337	0.325037	0.34421706	0.009230951	0.0030600745	9.918054e-06	3.6510763e-05
n	0.084828734	0.085255265	0.09066919	0.12535134	0.33383173	0.25854602	0.016678756	0.0045721885	3.9571234e-05	0.00022718844
