 	non	aveva	cosa	a	fare	</S>
e	0.9993537	0.00047710628	1.9850359e-05	0.00014131474	4.9307746e-06	3.075215e-06
n	0.99513924	0.0044030272	0.00045181366	5.090039e-06	1.455355e-07	5.613219e-07
ì	0.54633427	0.4517964	0.0017814211	8.752203e-05	3.7027294e-07	5.7601235e-09
c	0.23296192	0.72841865	0.03347307	0.0051210024	6.8585257e-07	2.4750787e-05
h	0.0940248	0.2986762	0.26103765	0.34546846	0.00014827441	0.000644648
e	0.05032472	0.30149278	0.5715796	0.073945895	0.0024593659	0.00019769814
t	0.04848367	0.32600048	0.21635213	0.40604115	6.833414e-05	0.0030542084
i	0.06817343	0.6926337	0.18117486	0.042253435	0.0076353187	0.008129281
k	0.06608311	0.09958667	0.20354752	0.6001713	0.0016814139	0.028929947
à	0.031859808	0.036356237	0.18996535	0.23776148	0.4547377	0.049319465
m	0.04030173	0.04815169	0.09236962	0.20843086	0.091337785	0.5194083
i	0.029126275	0.03214509	0.046831816	0.1362823	0.6072038	0.14841077
</S>	0.03676818	0.03762828	0.041858345	0.056142934	0.16476947	0.6628328
