 	l	ho	sentito	quando	veniva	</S>
t	0.997584	0.0021668032	0.00019595459	4.723199e-05	5.6450335e-06	4.883965e-07
o	0.8371176	0.16221555	0.00062540924	4.137173e-05	3.5840286e-09	3.5121187e-10
n	0.8826307	0.11695708	0.00041093666	1.1306449e-06	1.7506585e-09	1.9729378e-09
ì	0.18884802	0.7797635	0.026040975	0.0053439476	9.424579e-07	2.5309962e-06
k	0.104762204	0.2790735	0.5031763	0.11297719	2.6591744e-07	1.0642974e-05
u	0.14219955	0.338294	0.4987013	0.020636946	0.00010026856	6.785637e-05
s	0.1377012	0.2208215	0.5606598	0.08062356	1.0503127e-05	0.00018344517
a	0.11039497	0.21024507	0.48053885	0.19616202	0.0021935254	0.00046558652
m	0.10585431	0.13233134	0.21578741	0.54446316	0.00044844375	0.001115414
ò	0.095284045	0.11235329	0.18256228	0.5100817	0.08417351	0.015545226
t	0.09000995	0.10247699	0.14140561	0.5591198	0.07059833	0.03638918
t	0.07446513	0.09699969	0.17837435	0.43422326	0.1389217	0.077015884
e	0.21981585	0.054887336	0.20854472	0.42250276	0.09318844	0.0010609382
è	0.06703845	0.069752574	0.0779092	0.21011378	0.32557264	0.24961337
r	0.06081327	0.06535511	0.079298995	0.3334051	0.38938227	0.071745254
k	0.035405647	0.036965277	0.04182711	0.12669273	0.5531526	0.20595661
a	0.021348737	0.004059968	0.024925027	0.020777775	0.9283519	0.00053662976
t	0.0253948	0.025630746	0.026245687	0.037336472	0.3030157	0.58237654
o	0.05482164	0.05102047	0.056328207	0.07247642	0.6181402	0.14721307
</S>	0.035557028	0.03565972	0.03594143	0.0405048	0.18047847	0.67185855
