 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.9990747	0.0006770452	0.0002096997	3.4992372e-05	3.165474e-06	1.6897323e-07	5.071774e-08	1.064953e-07	3.791504e-08
j	0.98389167	0.015018975	0.0010881992	1.0198229e-06	1.2856084e-07	3.232696e-08	2.5321022e-08	3.07897e-08	2.1314305e-08
i	0.8047389	0.1870398	0.008048152	0.00016778563	5.302369e-06	1.0186262e-07	6.382124e-10	7.0015094e-10	4.8256815e-11
n	0.9829553	0.009899034	0.007122429	2.234903e-05	9.592184e-07	1.44120476e-08	4.466277e-10	1.1598857e-09	4.5577644e-10
è	0.3859558	0.08248894	0.51107436	0.019413477	0.001066596	7.9344017e-07	2.208445e-09	2.8574059e-09	1.4670078e-10
k	0.11477856	0.10872206	0.7683171	0.00815533	2.6820413e-05	4.6173902e-08	2.0089128e-09	1.9809589e-08	1.8791317e-09
a	0.18044098	0.41442677	0.3924678	0.012368843	0.00029016242	5.4089514e-06	7.77434e-09	1.0045352e-07	8.4841834e-10
p	0.23176117	0.1484702	0.6087952	0.010466703	0.0005051454	1.4569916e-06	1.4579011e-09	1.280779e-08	2.6017575e-09
u	0.1358447	0.28891107	0.43155748	0.09360724	0.049869735	0.00020905166	2.7372997e-07	4.4017318e-07	2.0031115e-09
l	0.11631969	0.13753428	0.6121652	0.120589934	0.013381109	9.740558e-06	8.1642675e-09	5.8597685e-08	8.438995e-09
i	0.115732685	0.2191701	0.45669213	0.115343414	0.08993473	0.003109062	9.51264e-06	8.306794e-06	6.222136e-08
z	0.10085147	0.117372744	0.37129375	0.33700326	0.073387705	8.9890236e-05	5.498691e-07	5.3742957e-07	7.346866e-08
z	0.059030604	0.100645006	0.4428932	0.22461799	0.1583025	0.014366051	6.248582e-05	7.558558e-05	6.5573727e-06
è	0.032677628	0.667217	0.082606845	0.08247094	0.13428868	0.0007342271	1.3916117e-06	3.2629962e-06	1.6898102e-08
i	0.027948787	0.030986419	0.09492841	0.46116394	0.38356176	0.0013891774	1.35791815e-05	5.6400877e-06	2.2565416e-06
o	0.027630053	0.0132372165	0.055614807	0.3403417	0.5407242	0.021925315	0.00050741376	1.8567478e-05	8.0390436e-07
s	0.053208217	0.035088774	0.065403	0.2393814	0.5742741	0.031145234	0.0012996194	0.000102834536	9.675689e-05
p	0.04546481	0.04975922	0.054488372	0.29699984	0.5109117	0.03682352	0.0033105954	0.000121101446	0.002120834
ì	0.012936075	0.7856827	0.031021949	0.058964018	0.0918241	0.012177765	0.0007893784	0.0056186146	0.0009854593
t	0.034591492	0.035224803	0.04217208	0.15348615	0.41109258	0.31243843	0.008236309	0.002498595	0.00025942418
i	0.029974708	0.034702208	0.029007213	0.2864596	0.5779777	0.033424053	0.0057145436	0.0011167575	0.0016231256
o	0.057750188	0.058007367	0.059911862	0.09420168	0.20891361	0.49996084	0.008496853	0.0059765046	0.006781066
à	0.04800337	0.04157561	0.0498427	0.07375237	0.15715271	0.53368896	0.07648863	0.012487017	0.0070086652
n	0.041784596	0.0420027	0.045640767	0.09928268	0.27532676	0.42871273	0.04762341	0.00535827	0.014268128
t	0.0772236	0.074150845	0.078595325	0.095454216	0.15290429	0.4924647	0.021885527	0.0027863884	0.0045352005
r	0.02292528	0.053330038	0.0034836486	0.023177048	0.07269993	0.21545704	0.45177397	0.03268652	0.124466576
e	0.010894216	0.3391176	0.007824571	0.016579863	0.052602895	0.1610768	0.37748957	0.026358133	0.008056336
p	0.023852557	0.023923745	0.023759423	0.026829898	0.035912648	0.12709196	0.12966411	0.32865652	0.2803091
o	0.015706738	0.016735943	0.011633728	0.021771206	0.044513684	0.1297119	0.29868704	0.18369173	0.27754802
d	0.020586506	0.020712541	0.020086683	0.021802852	0.025511287	0.06275943	0.15376945	0.35236704	0.32240424
è	0.013398305	0.01497275	0.0077697993	0.015842464	0.027293745	0.10441008	0.28742415	0.25672197	0.27216676
g	0.014377683	0.014388526	0.014467383	0.01571489	0.019691525	0.06180254	0.24032936	0.30307275	0.3161553
g	0.015101929	0.016578862	0.0090033645	0.016060326	0.02250504	0.079325624	0.26907063	0.22881314	0.34354112
h	0.0062519605	0.09903632	0.0021944533	0.005123711	0.018351182	0.23900144	0.50589114	0.095881104	0.028268715
e	0.010017934	0.03924803	0.0030779832	0.009028062	0.031399827	0.26503104	0.579086	0.0391356	0.023975594
</S>	0.018317457	0.018433	0.01845974	0.018943576	0.020424807	0.034906108	0.13540342	0.3444415	0.3906704
