 	non	mangiare	la	sera	</S>
m	0.9987185	0.00021861393	0.00012652343	0.00093295827	3.4543907e-06
i	0.9922776	0.0072724666	0.0004476659	2.1652713e-06	3.6539163e-09
f	0.25789252	0.7414968	0.0006104815	1.6227787e-07	5.153834e-08
a	0.14148472	0.8195143	0.037536766	0.0013766424	8.7640925e-05
i	0.09186574	0.46488127	0.4405224	0.0020776386	0.00065296044
o	0.074128024	0.22750546	0.6780637	0.009954204	0.010348524
v	0.10281171	0.14547573	0.33009797	0.25483444	0.1667801
r	0.032103736	0.07205253	0.08713409	0.7607255	0.047984153
à	0.002768585	0.02712356	0.034843817	0.9250739	0.010190137
i	0.032018825	0.07462024	0.2560026	0.078812875	0.5585455
</S>	0.04407548	0.05655407	0.12413158	0.09059736	0.6846415
