 	il	lenzuolo	vuole	lavato	</S>
o	0.9919416	0.0077625327	0.00027679667	1.8649213e-05	3.022266e-07
p	0.35196847	0.6475509	0.00047975077	3.8678638e-07	5.7646065e-07
l	0.92769206	0.04634739	0.024966057	0.0009894861	5.128356e-06
a	0.558154	0.42904603	0.010767467	0.001481679	0.0005509399
ù	0.19845152	0.66629714	0.13519514	5.5056258e-05	1.160626e-06
n	0.08972199	0.4327827	0.47655922	0.0008052086	0.00013087125
a	0.116222	0.26515174	0.6108107	0.007600179	0.00021535432
t	0.059915327	0.10398161	0.5711125	0.2527214	0.012269186
è	0.09767942	0.1160664	0.37474585	0.32050335	0.091005
l	0.054748543	0.07356898	0.32532704	0.5076656	0.03868989
i	0.0443692	0.07025926	0.37708017	0.3747302	0.13356116
p	0.04821696	0.050340466	0.07740872	0.64725184	0.17678201
l	0.05226875	0.036086373	0.09275299	0.5820262	0.23686574
i	0.22547011	0.015260639	0.03204944	0.7100243	0.017195476
m	0.020950967	0.022444822	0.04221223	0.3917382	0.5226538
è	0.041414607	0.03836367	0.058667347	0.5304457	0.33110872
n	0.024932967	0.0255766	0.03352447	0.30695224	0.60901374
o	0.052556545	0.05242374	0.07485616	0.5883592	0.23180437
</S>	0.036168333	0.036427483	0.039551254	0.173555	0.71429795
