 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
t	0.5032384	0.4749996	0.021706874	5.428744e-05	8.088057e-07	7.0059905e-08	9.704723e-09	8.9748715e-09	8.17664e-09	8.014789e-09	7.786906e-09
a	0.88198805	0.11744183	0.00053519517	3.470109e-05	1.8397228e-07	2.8621667e-09	1.14951194e-10	4.1887924e-11	8.1630536e-11	9.5283295e-12	9.905288e-12
p	0.18925887	0.8106591	8.198417e-05	3.2032595e-08	7.4681933e-10	1.5597586e-10	3.761315e-10	1.5297534e-10	1.450152e-10	1.4066834e-10	1.3863072e-10
e	0.590964	0.16675976	0.014293024	0.22555667	0.0024123334	9.684341e-06	4.419318e-06	9.8038065e-08	5.1108846e-09	1.8289023e-09	4.212782e-10
d	0.21441247	0.77858394	0.004648124	0.0023552747	2.3551083e-07	3.187358e-09	2.124353e-08	3.3064727e-09	1.786991e-09	6.924916e-10	2.2746444e-10
ì	0.24895559	0.6165171	0.02513424	0.09857151	0.01075469	1.9798157e-05	4.662457e-05	4.1486075e-07	2.9511096e-09	6.425804e-10	1.8845889e-10
a	0.1061269	0.40329248	0.45866126	0.031875573	4.3093725e-05	3.5374984e-07	2.9414565e-07	7.4658196e-08	1.0997841e-08	9.588847e-09	5.6244026e-10
m	0.08509257	0.2550894	0.39041397	0.26924357	0.0001604237	5.3965405e-09	6.55792e-08	5.45195e-10	3.7886916e-10	1.7900131e-10	1.1142994e-10
i	0.30608013	0.3242405	0.048750613	0.3073278	0.013518956	9.512654e-06	7.023165e-05	2.2426166e-06	4.636553e-08	1.8978652e-09	7.625087e-10
n	0.03884469	0.055431273	0.4903001	0.4133481	0.002049028	4.6800685e-07	2.6252104e-05	4.4989132e-08	6.689691e-09	1.974401e-09	1.1748293e-09
c	0.04187482	0.06541167	0.10764816	0.59737104	0.16738996	3.757929e-05	0.020251935	1.453953e-05	2.4440791e-07	5.067803e-08	4.5350244e-09
i	0.11489444	0.02995993	0.0016979995	0.7198559	0.13332503	0.000115557326	0.00015100406	8.360421e-08	7.596426e-08	1.7429273e-10	5.451364e-12
à	0.022381943	0.029206837	0.35247105	0.35377446	0.24020416	8.5066e-06	0.0019520724	9.1709603e-07	2.9015071e-08	6.2245853e-09	1.9960003e-09
è	0.021076813	0.03616401	0.38877013	0.3869709	0.16104957	0.00010558346	0.0058547915	7.9529e-06	8.445271e-08	2.162879e-08	4.7735355e-08
r	0.0246917	0.030920373	0.3696738	0.38456127	0.18828039	4.3904034e-05	0.0018248514	3.5634596e-06	4.4940446e-08	2.6811556e-08	4.3065462e-08
k	0.102461435	0.10506841	0.21813162	0.45809945	0.11134649	0.0009863685	0.0038028713	9.233815e-05	1.0588585e-05	1.0987593e-07	3.5235618e-07
u	0.08392312	0.014385515	0.003647738	0.88539624	0.012010325	0.0006266363	8.891043e-06	3.535343e-07	1.2334535e-06	2.5118357e-08	1.1810432e-08
t	0.06549646	0.066227876	0.13604721	0.15859729	0.5317492	0.018513747	0.021576108	0.0017806347	1.0711435e-05	5.3686495e-07	2.2087025e-07
t	0.09707157	0.04177775	0.006284335	0.16746838	0.5436453	0.08341525	0.05867671	0.0015060578	0.00015442046	6.027957e-08	6.543055e-08
e	0.054668535	0.021656256	0.0060989787	0.6617835	0.23462878	0.018928649	0.0021459777	2.2628179e-05	6.556754e-05	4.2208652e-07	6.884504e-07
n	0.0868137	0.08719353	0.12950768	0.141772	0.45066947	0.061824843	0.03353336	0.008574801	0.00010794575	2.0357352e-06	6.528479e-07
d	0.023079246	0.022630677	0.05980559	0.07448379	0.29597458	0.11276606	0.36559418	0.0446698	0.0009945777	1.2652035e-06	3.0083277e-07
i	0.0054412256	0.004785688	0.000309652	0.077740386	0.35605988	0.5497422	0.0049577947	0.0006063675	0.0003560363	1.7170736e-08	7.019711e-07
m	0.031458676	0.031881656	0.062326368	0.068817414	0.28135714	0.3140486	0.19754608	0.012469063	9.036764e-05	4.08541e-06	4.7337676e-07
è	0.033660717	0.021804444	0.004187836	0.043845553	0.18375891	0.5596971	0.12930849	0.021982701	0.0016405401	3.2953732e-05	8.071052e-05
n	0.026160134	0.026370175	0.04223399	0.045486964	0.16905692	0.30534253	0.34825537	0.03631543	0.0007479352	2.4740542e-05	5.837735e-06
i	0.020985292	0.020159444	0.041091282	0.04977967	0.20065655	0.25574452	0.26074803	0.14680706	0.0039602225	5.267752e-05	1.52224875e-05
à	0.029401265	0.029453935	0.034188233	0.03533905	0.07356417	0.26656875	0.30798954	0.2190969	0.0042100926	2.37023e-05	0.00016431228
t	0.017637286	0.01777494	0.028041674	0.030129805	0.11049211	0.23731205	0.33641362	0.21770531	0.004181884	0.00016215257	0.00014919437
t	0.029833373	0.028430996	0.023107711	0.032898206	0.061367664	0.20328513	0.2854784	0.30753523	0.023765393	0.0022131072	0.0020848105
