 	deve	che	entra	da	qui	</S>
è	0.9959246	0.0027516892	0.0011844968	0.00011287746	2.3776598e-05	2.557698e-06
n	0.9964694	0.0035299968	4.1636343e-07	1.731376e-07	2.5405141e-08	4.202283e-08
g	0.5668189	0.4322434	0.0007387119	0.00019668911	2.1437058e-06	1.3726542e-07
h	0.45078066	0.5481178	0.0005074709	0.0005935305	5.1719e-07	3.5956563e-10
i	0.9502079	0.049728133	4.8232272e-05	1.5646472e-05	5.7733597e-08	4.8267995e-10
s	0.23417243	0.7656364	3.8490205e-05	0.00015243684	7.5103266e-08	7.5521996e-08
e	0.15511115	0.7390009	0.09706517	0.008049885	0.00077144767	1.417696e-06
n	0.25718787	0.57700694	0.02994597	0.13578701	6.7391295e-05	4.7802964e-06
a	0.16670403	0.4402641	0.2130668	0.17266579	0.006559459	0.00073982513
m	0.13103172	0.24435613	0.2172778	0.38455465	0.019951778	0.0028279934
b	0.14849581	0.24258141	0.34141618	0.07068878	0.1936901	0.0031277058
i	0.0033957742	0.0031052916	0.98331326	0.009475741	0.0006176128	9.2317445e-05
a	0.032134656	0.044927917	0.23850547	0.5469584	0.121940896	0.015532644
p	0.034558788	0.037744716	0.01696699	0.28277764	0.5769555	0.0509964
ò	0.06502	0.08443319	0.096561626	0.08760006	0.59375256	0.07263252
t	0.020200426	0.021456536	0.0634797	0.12876545	0.44081536	0.32528248
t	0.022429027	0.024419026	0.06831568	0.13931511	0.4687853	0.27673587
ù	0.014104005	0.022692772	0.5888598	0.1632953	0.20962285	0.0014252866
</S>	0.026716787	0.026897788	0.031990737	0.040479843	0.3445038	0.529411
