 	vuole	vuole	mangiato	caldo	</S>
t	0.9858084	0.014019668	0.00017158403	3.754037e-07	4.6944237e-08
è	0.99170965	0.00812159	0.00016878318	5.3832736e-08	1.00310364e-10
l	0.85199136	0.14776906	0.00023912899	1.8811856e-07	2.7498928e-07
i	0.91012543	0.08750149	0.0023728684	1.1517691e-07	3.786874e-09
t	0.17975979	0.7839736	0.036266576	8.0695514e-08	2.6778272e-08
è	0.15695493	0.7382573	0.10422782	0.00052741345	3.2592994e-05
l	0.11152601	0.56862384	0.31977996	6.834576e-05	1.9040016e-06
i	0.14822692	0.7292345	0.12250027	3.7407688e-05	8.3067096e-07
f	0.072213404	0.14387693	0.78262	0.0010347035	0.00025496582
a	0.14518681	0.43715405	0.20707342	0.19580205	0.014783661
m	0.09674079	0.13406128	0.73834956	0.025446342	0.0054020737
è	0.041631922	0.07216746	0.1168448	0.70722485	0.062131036
n	0.07918931	0.09520695	0.41215533	0.17471017	0.23873821
o	0.06888108	0.09185807	0.57992166	0.13260147	0.12673771
t	0.03650876	0.03920909	0.09027957	0.6318281	0.20217443
r	0.03398799	0.037399877	0.06085383	0.7132086	0.15454963
e	0.04464468	0.04443252	0.01653082	0.8809345	0.013457412
m	0.024476392	0.025855541	0.051398147	0.35990307	0.53836685
m	0.027804269	0.029986935	0.055883627	0.60071397	0.28561118
ò	0.09902727	0.026696747	0.015952036	0.8476811	0.010642792
</S>	0.02965552	0.030299682	0.041326504	0.2612892	0.6374291
