 	che	non	li	aspettiamo	</S>
n	0.97695506	0.022586685	0.0002337145	0.00022303745	1.4641039e-06
a	0.9629228	0.037072025	3.7719044e-06	1.2513567e-06	6.3605526e-08
m	0.13041091	0.86939347	0.00019518883	3.0251664e-07	8.9851e-08
i	0.22154883	0.1069421	0.51115537	0.118944824	0.041408904
t	0.119229436	0.5796688	0.29894394	0.0013207129	0.00083712855
u	0.19227268	0.20015998	0.49909803	0.0258612	0.08260818
s	0.05046464	0.17703561	0.5524521	0.20283489	0.017212749
m	0.03901023	0.05893555	0.23938379	0.2349468	0.42772362
ì	0.019180838	0.09300957	0.020519054	0.025208872	0.84208167
n	0.05839355	0.09639816	0.31367412	0.14728172	0.3842524
o	0.060580824	0.27458033	0.49635178	0.058368284	0.11011879
m	0.023582162	0.030911304	0.09539544	0.3937685	0.45634264
e	0.30303177	0.14783762	0.28752354	0.17714	0.084467016
</S>	0.026241241	0.028326396	0.04519264	0.3117746	0.5884651
