 	se	vieni	ogni	giorno	a	casa	mia	compra	il	pane	</S>
a	0.5816139	0.39404017	0.023476662	0.00080726837	3.5359823e-05	1.873492e-05	3.8104536e-06	3.3711485e-06	3.854923e-07	2.0620854e-07	1.9770343e-07
n	0.15524246	0.84151155	0.0032453418	6.09945e-07	9.578368e-10	6.2826777e-10	4.190102e-10	7.623443e-10	3.7958817e-10	3.8183487e-10	3.7157452e-10
è	0.45214415	0.1510155	0.22316974	0.1720212	0.00071184844	0.0009346173	2.5490424e-06	3.319197e-07	8.5605585e-08	2.3774623e-08	6.350895e-10
r	0.07288569	0.14935288	0.48196033	0.29566708	0.00012187416	1.20368895e-05	1.0867062e-07	7.7794596e-08	1.1438419e-08	8.685255e-10	1.5651613e-09
k	0.17500348	0.4528149	0.32400402	0.047063403	0.0009893079	0.00012135521	3.4105253e-06	1.3212292e-07	1.3227705e-08	4.5523588e-10	7.648551e-11
e	0.8347576	0.1413643	0.023865573	7.5460493e-06	4.7338303e-06	8.6550955e-08	2.140832e-08	1.4612042e-09	1.5106455e-08	7.9457635e-10	3.8855343e-11
s	0.08128088	0.17595659	0.7142026	0.028461827	5.9550996e-05	3.8251517e-05	2.1350705e-07	7.097473e-08	1.5232722e-09	2.3029485e-10	2.79891e-10
e	0.24600716	0.26717764	0.24766137	0.10238828	0.10942869	0.027153963	0.00017370579	6.661323e-06	2.4609058e-06	5.7356814e-08	1.1574731e-09
k	0.15120138	0.18117878	0.5498246	0.10868846	0.0032717064	0.005806748	2.7701251e-05	6.846488e-07	1.0703903e-08	1.2388092e-09	1.6560318e-09
a	0.22263326	0.2658366	0.16784456	0.08229894	0.18706907	0.06598492	0.0081831515	2.6081765e-05	0.00012271332	6.419734e-07	4.6924008e-08
i	0.08657012	0.097438164	0.2495551	0.4833993	0.050805673	0.02874322	0.003483327	4.344291e-06	6.648071e-07	2.9899745e-09	2.7694561e-08
m	0.0519495	0.054550625	0.09108897	0.2995615	0.08014556	0.40152642	0.021133535	4.3380216e-05	3.3899147e-07	1.1770448e-08	2.521702e-07
è	0.1311737	0.100621335	0.03887315	0.070166275	0.36254492	0.28299683	0.011301569	0.00019254744	0.0020682113	5.9479273e-05	1.9560375e-06
r	0.040076513	0.042149734	0.07005124	0.24440028	0.33236805	0.2115321	0.0592099	0.0001382094	7.263449e-05	6.1840814e-07	7.8104284e-07
i	0.013942876	0.016082007	0.049141947	0.17710608	0.27278295	0.28349143	0.18634537	0.0009989677	0.00010469016	1.4977298e-06	2.2372726e-06
è	0.05980368	0.060716067	0.07101645	0.13349295	0.24065576	0.24717079	0.18526648	0.0015729204	0.00030248507	2.967577e-07	2.0738562e-06
s	0.029023245	0.029785318	0.03961841	0.10539643	0.19126225	0.4230757	0.17901556	0.0025781966	0.00021661277	4.650216e-07	2.7801574e-05
s	0.049233112	0.04914627	0.051908262	0.088407576	0.19396813	0.4391409	0.12528569	0.0022594496	0.0005321779	1.6257263e-05	0.00010217636
u	0.16647999	0.032201897	0.12309753	0.033878088	0.45687455	0.13836344	0.048996873	1.0369157e-06	3.622035e-05	6.391836e-05	6.348627e-06
m	0.058515314	0.058974523	0.060939312	0.07442406	0.10647699	0.16489668	0.39464536	0.06750144	0.012707125	0.0004323026	0.0004869027
u	0.084479876	0.071315475	0.04053896	0.06082286	0.22884257	0.39627975	0.09915113	0.0025624312	0.013590417	0.0020116435	0.00040502002
a	0.041247375	0.041415635	0.041938692	0.04586672	0.0565514	0.08668664	0.29295394	0.25701505	0.13075149	0.003034549	0.0025385418
v	0.023577683	0.02362291	0.024200317	0.027537692	0.035618976	0.068609715	0.23371573	0.37125054	0.18629007	0.00378342	0.0017929925
ò	0.10414653	0.10217829	0.08950089	0.096242376	0.14195146	0.21205285	0.08362524	0.015450949	0.09747555	0.055350136	0.002025802
r	0.019410333	0.019431226	0.019737132	0.02158811	0.026883323	0.043759093	0.16126192	0.24031988	0.33948088	0.0812	0.026928026
a	0.019613286	0.019429175	0.019119374	0.022371717	0.032590013	0.061716028	0.20831133	0.25017154	0.23020068	0.04369116	0.09278566
s	0.022864174	0.02335936	0.023505671	0.023889387	0.02492452	0.02778347	0.050138015	0.030607255	0.36057162	0.33367172	0.078684874
o	0.041516535	0.039956655	0.032258105	0.03527169	0.04809848	0.059264332	0.043471728	0.079199165	0.33674246	0.1977418	0.086479045
t	0.026024152	0.02659824	0.02618188	0.026494544	0.02739286	0.028301848	0.03647924	0.013211281	0.24582839	0.41043627	0.13305126
o	0.028535997	0.023870824	0.01033376	0.012474923	0.027869174	0.023281021	0.009428024	0.010064695	0.3576109	0.387276	0.109254725
t	0.026082791	0.02633763	0.02609087	0.026260218	0.026746552	0.027233487	0.031450048	0.018839205	0.16160882	0.46163914	0.16771124
s	0.021802178	0.01891364	0.00892793	0.010627284	0.021280011	0.017610978	0.009279188	0.0046457495	0.27555904	0.45355675	0.1577973
o	0.00027306518	8.807706e-05	0.0013706173	0.0010475348	0.004065074	0.001677162	0.00010201589	5.5337923e-06	0.051008835	0.9296115	0.010750551
m	0.01563855	0.015676875	0.015712291	0.015805013	0.016057825	0.01677587	0.02194426	0.030930124	0.16454406	0.34435084	0.34256428
ì	0.015749995	0.015799722	0.012462504	0.013411018	0.017096665	0.016938893	0.016804842	0.0028695527	0.22835295	0.40501252	0.25550133
</S>	0.01795942	0.017980339	0.017990991	0.018038765	0.018169178	0.018528555	0.021043392	0.026338724	0.10153133	0.34752694	0.39489233
