 	io	non	ho	niente	da	mangiare	</S>
e	0.992687	0.0072949864	1.3257426e-05	3.1399604e-06	1.5405401e-06	5.8742655e-09	1.3165444e-08
v	0.9822917	0.01763204	6.0589184e-05	1.4304618e-05	1.206817e-06	3.275095e-08	2.680229e-07
ò	0.8201191	0.122018926	0.05453212	0.0030653898	0.0002644084	2.9408138e-09	9.363462e-09
e	0.28167346	0.7182299	8.90505e-05	7.2905864e-06	1.2773079e-07	4.353387e-08	9.115971e-08
n	0.11260758	0.8776138	0.0089268	0.0008433596	8.38181e-06	6.0063146e-09	7.647111e-08
è	0.06946579	0.46719876	0.37744898	0.08408837	0.0017981917	9.478948e-09	8.943917e-09
c	0.27030876	0.52049106	0.14852072	0.060373608	0.00030336095	7.061934e-07	1.8048335e-06
h	0.17754343	0.13055743	0.3943971	0.22239292	0.074942164	6.102546e-06	0.00016089044
o	0.029206656	0.03021914	0.43194538	0.50550187	0.0030677419	2.533094e-05	3.3906243e-05
t	0.024207441	0.05164105	0.27952653	0.38972616	0.25361243	0.0007092616	0.00057713257
ì	0.030249322	0.04694488	0.32370728	0.5552573	0.03413516	0.003834565	0.0058714766
p	0.041015368	0.049403444	0.1428204	0.3761106	0.38869858	0.000840666	0.0011109859
o	0.025402948	0.041098434	0.2191234	0.43247542	0.26688185	0.003420997	0.011597001
t	0.06168284	0.06381405	0.08707932	0.17093846	0.5459645	0.027028278	0.04349251
i	0.03877368	0.03552593	0.0722983	0.18545395	0.26831275	0.21352297	0.18611248
n	0.077492625	0.078404404	0.088174894	0.121820025	0.30922082	0.1033102	0.22157699
a	0.0352662	0.03613172	0.04552352	0.08510053	0.28047544	0.34499332	0.17250928
f	0.04034506	0.04118558	0.047669724	0.06933629	0.20365298	0.44928223	0.14852808
à	0.058707867	0.02880296	0.06471207	0.09899626	0.05976401	0.2601173	0.42889956
o	0.018207045	0.01847419	0.02126246	0.031038119	0.08659852	0.39960107	0.42481855
</S>	0.023511829	0.023749264	0.025765862	0.03251553	0.072743274	0.38309377	0.43862045
