 	ora	che	loro	non	vengono	più	</S>
à	0.9912655	0.006636095	0.0012844986	0.0006280295	0.00014115887	3.5153415e-05	9.625717e-06
r	0.9987205	0.001278142	1.190294e-06	9.935983e-08	1.8186288e-08	2.0514582e-08	4.012791e-09
t	0.034302328	0.9299614	0.035253443	0.0002402551	0.0001346052	0.00010657138	1.3902087e-06
e	0.5951306	0.40477484	1.7743041e-05	3.3570595e-05	4.086085e-05	2.4085275e-06	1.9544977e-08
k	0.29376027	0.6950808	0.011151486	7.2037933e-06	1.4510708e-07	4.5600615e-08	2.813174e-08
a	0.021237846	0.9584642	0.016824657	0.0027477732	0.00064512173	8.01941e-05	2.374891e-07
c	0.13732557	0.83386505	0.024048347	0.0047143553	4.6037792e-05	4.700933e-07	2.3451545e-07
ì	0.052372985	0.2731261	0.5829341	0.091272585	0.00027185233	2.204663e-05	3.2216596e-07
n	0.03835224	0.17576946	0.6463611	0.13808939	0.0012818299	0.00012639322	1.9558707e-05
i	0.05231338	0.3111434	0.42355022	0.20545436	0.0072127003	0.00031365067	1.2337186e-05
e	0.036210783	0.062377207	0.3501907	0.5388372	0.012167502	0.00015720652	5.9512866e-05
n	0.06966617	0.08038225	0.20770346	0.5306686	0.10592053	0.0025715563	0.0030873835
è	0.039977998	0.11759283	0.2472669	0.43274626	0.12320049	0.03648357	0.0027320725
r	0.0476501	0.055649307	0.14203763	0.4058649	0.32231775	0.016122062	0.010358278
k	0.03147619	0.0483761	0.158832	0.39359254	0.35307798	0.0068405126	0.0078046755
o	0.00031018382	0.46496198	0.047333457	0.15650794	0.3145591	0.010863711	0.005463676
t	0.020211507	0.024227016	0.039462164	0.10088848	0.28852984	0.38435012	0.14233093
t	0.0042510303	0.06762089	0.04208445	0.068897486	0.47545514	0.30788743	0.03380353
e	0.00036431497	0.36143073	0.010117296	0.03424828	0.37544218	0.17738692	0.041010287
p	0.018691912	0.027806286	0.031482454	0.045666426	0.1183238	0.38282216	0.37520695
l	0.0039407164	0.033645634	0.031829536	0.03560162	0.23431015	0.56636053	0.09431186
è	0.0008949606	0.042598702	0.0033368214	0.0019970727	0.034721445	0.8597245	0.05672657
o	0.016507562	0.016975084	0.02265731	0.045706846	0.14387167	0.33897057	0.41531098
</S>	0.012325895	0.018205876	0.021671409	0.035060693	0.100989655	0.35726124	0.45448527
