 	sta	seduta	nel	giardino	</S>
s	0.99122447	0.008739766	3.5452536e-05	1.7822964e-07	1.8158248e-08
t	0.9976866	0.0022982082	1.403876e-05	1.1495989e-06	8.354665e-10
è	0.9985876	0.0012148104	0.00019724779	3.361955e-07	3.5093667e-08
i	0.40180445	0.5981472	4.8191123e-05	3.9989942e-08	6.907962e-08
k	0.12528318	0.8687372	0.005932923	4.305337e-05	3.6014674e-06
a	0.9264379	0.042823303	0.030698817	3.969271e-05	3.566698e-07
s	0.122454986	0.8277338	0.04950619	0.00029162873	1.3445512e-05
i	0.09104904	0.56541294	0.22912788	0.031388734	0.08302148
m	0.1449753	0.7240384	0.12872924	0.0019844498	0.0002725186
m	0.09394843	0.21672454	0.54604226	0.06381195	0.07947282
è	0.41130233	0.014851575	0.5363051	0.007835823	0.029705126
n	0.21785922	0.37266076	0.39735687	0.0058361012	0.0062870504
i	0.07558288	0.43335947	0.16436629	0.23665982	0.09003149
s	0.050326016	0.07739147	0.30253282	0.45648026	0.11326945
t	0.06485728	0.07449063	0.34663823	0.18752505	0.32648876
o	0.20308813	0.02083551	0.7156866	0.03587848	0.024511244
n	0.10082534	0.114815965	0.27094188	0.16973153	0.3436853
g	0.0216234	0.032602135	0.224372	0.5094916	0.21191089
h	0.14135997	0.0008539803	0.8074128	0.026741166	0.02363213
i	0.01468488	0.00063587324	0.8400218	0.09497297	0.049684446
a	0.030790132	0.03283905	0.10674314	0.39985344	0.4297742
r	0.019182207	0.020891178	0.05218284	0.43432453	0.47341922
d	0.029303338	0.02908364	0.04339796	0.36707532	0.53113973
ì	0.06298844	0.00073551096	0.7195557	0.1895832	0.027137242
n	0.02218445	0.02271435	0.03154644	0.37104705	0.5525077
o	0.045815315	0.036559716	0.06449982	0.6428502	0.21027496
</S>	0.03937264	0.038629908	0.042065155	0.18894312	0.6909892
