 	se	si	era	vestita	la	mia	figlia	l	avessi	portata	alla	chiesa	</S>
a	0.74152935	0.257716	0.00042838178	0.00020113842	8.769097e-05	1.1433257e-05	2.4207182e-05	1.1181296e-06	1.4628141e-07	1.3271071e-07	1.5053561e-07	1.0431694e-07	1.0864276e-07
n	0.52568936	0.47424442	6.607539e-05	1.7174098e-07	1.9115942e-09	1.2481332e-09	1.2185716e-09	1.038448e-09	1.035031e-09	1.040482e-09	1.0204021e-09	8.898561e-10	2.8212907e-10
ì	0.30009413	0.35626948	0.29011035	0.05200257	0.0009702994	0.00016490511	0.00038814955	1.2210958e-07	3.9749934e-10	8.606883e-10	4.06814e-10	2.1845477e-11	1.6986103e-11
c	0.065228835	0.11938416	0.58523667	0.22816485	0.0019770903	4.865936e-06	3.4812037e-06	2.9155197e-08	3.6890417e-09	4.585398e-09	2.9903902e-09	8.834845e-09	2.3640033e-11
h	0.25311857	0.48732075	0.1553545	0.10208192	0.002081229	3.525767e-05	7.733562e-06	3.7222566e-08	8.891779e-10	3.6997724e-10	1.2679337e-10	2.091917e-10	2.9310276e-11
a	0.47832283	0.51578987	0.005698717	0.00015973538	2.5727672e-05	3.0109386e-06	1.02094376e-07	2.1453724e-08	3.045749e-11	3.9654087e-12	2.2575965e-11	1.947997e-11	5.4645928e-12
n	0.10072534	0.25523835	0.4144148	0.2258614	0.0037414713	1.6253356e-05	2.435792e-06	6.120389e-09	3.4847444e-10	1.7578073e-09	2.9028904e-10	1.3590433e-09	8.742781e-11
d	0.0543313	0.12107403	0.50048816	0.29639328	0.02458361	0.0029373162	0.00019202264	2.9903214e-07	4.9537383e-09	2.5188593e-09	8.7848234e-10	4.0145356e-10	1.1473681e-10
ì	0.41624534	0.42842296	0.10489012	0.044505186	0.005459135	0.0004455533	2.9846906e-05	1.8737813e-06	3.3665992e-09	4.352025e-10	6.3856738e-09	3.9102557e-10	6.2500966e-10
s	0.036227852	0.068021305	0.35568628	0.4991396	0.034293562	0.0050098253	0.0016119023	8.974787e-06	3.326007e-07	2.8413166e-07	4.5866408e-08	3.5129768e-09	1.5994184e-10
o	0.04688696	0.09285965	0.2637534	0.4312862	0.13220067	0.02691645	0.0060421526	5.374978e-05	6.802791e-07	9.070093e-08	6.2752834e-09	2.762315e-10	1.4832212e-10
n	0.0818225	0.090130016	0.15045282	0.49992204	0.14963683	0.025616257	0.002414001	5.2681844e-06	7.86638e-08	1.1128267e-07	3.6242433e-09	2.607842e-09	3.6149767e-10
t	0.03756665	0.042714145	0.09671318	0.38052934	0.27161905	0.15268286	0.017062034	0.001111867	8.986779e-07	3.498074e-08	4.1334984e-09	8.1987517e-10	4.6031963e-11
a	0.65150344	0.10983076	0.079708375	0.07825857	0.055083472	0.02135654	0.0033169256	0.0009087262	3.2232016e-05	3.6608816e-07	5.37118e-07	7.2362303e-09	4.5476684e-10
i	0.028448	0.029513303	0.04243471	0.1450713	0.33512977	0.3298042	0.088106275	0.0014831055	8.963308e-06	2.527165e-07	5.7466078e-08	1.2815802e-08	8.840407e-10
k	0.031697493	0.03219744	0.03780552	0.08142649	0.21205449	0.26398543	0.32383677	0.016793152	0.00019309073	9.434887e-06	5.1447904e-07	1.9505403e-07	2.5048512e-09
i	0.4128773	0.16983691	0.012016095	0.029771317	0.09798334	0.13870296	0.0323466	0.10053771	0.0058347704	7.138282e-05	2.115593e-05	4.448432e-07	1.375991e-08
a	0.021608818	0.022181422	0.028123539	0.0882445	0.23423846	0.33799195	0.24523906	0.02216937	0.00019718974	5.1989473e-06	2.906739e-07	3.211117e-08	8.334637e-08
t	0.021565285	0.021876466	0.02568361	0.05305888	0.14269559	0.24604438	0.41526267	0.07288878	0.00089614006	2.5871635e-05	2.208934e-06	6.274827e-08	2.3361494e-08
è	0.08754745	0.07169113	0.007201887	0.04840609	0.16774935	0.38322583	0.05926804	0.15851273	0.0130361775	0.0031999613	0.00014256562	1.8052206e-05	7.331412e-07
r	0.024731798	0.024884995	0.026685162	0.03967617	0.08634591	0.2002625	0.37054887	0.22028184	0.0065707853	8.829142e-06	2.6638556e-06	7.9736274e-08	4.0037347e-07
a	0.014029354	0.014289982	0.016775113	0.04463455	0.12588425	0.23126538	0.28946868	0.22883943	0.03396011	0.00071621843	0.0001349907	1.4899794e-06	4.5053315e-07
m	0.045358	0.045467686	0.04581507	0.05343532	0.07716785	0.14564241	0.3269746	0.24724911	0.012078034	0.00074275525	6.407856e-05	7.213462e-07	4.3449463e-06
u	0.04184967	0.03879905	0.00909154	0.03314933	0.07000592	0.16155766	0.14878008	0.36842024	0.08777212	0.037877545	0.002352161	0.0003237028	2.1025511e-05
t	0.05058167	0.050499313	0.04666811	0.053757306	0.06597527	0.10017061	0.22616205	0.33196315	0.067789175	0.004669454	0.0016247845	2.1658578e-05	0.00011747343
i	0.028270315	0.02318551	0.0022978913	0.0118225	0.027120674	0.0657426	0.14143762	0.30916822	0.16014099	0.1879996	0.042113014	0.0005492257	0.00015179113
n	0.049241662	0.04919412	0.047109768	0.05164633	0.060134444	0.08376697	0.17611206	0.30606902	0.15418111	0.013240235	0.008396036	0.00011743279	0.0007909123
ì	0.02921265	0.029268868	0.028164865	0.031469263	0.038672075	0.05952757	0.13493288	0.26612744	0.22227333	0.12291236	0.03684607	0.0004361063	0.00015650412
c	0.03440603	0.034422938	0.034514084	0.036353927	0.041856784	0.05763886	0.120495416	0.2324411	0.38763675	0.017842013	0.0020461443	8.840792e-05	0.00025753054
h	0.035246823	0.035265595	0.03467597	0.037078507	0.04274162	0.058979783	0.12289817	0.23286521	0.33095708	0.04551155	0.023264647	0.00042036801	9.462995e-05
a	0.03627694	0.031344816	0.0026726022	0.005556506	0.013145719	0.037742205	0.09294382	0.36691624	0.08360019	0.13251063	0.1944789	3.1792144e-06	0.002808253
p	0.023130538	0.024114385	0.023942653	0.024613649	0.026129628	0.03025088	0.04605823	0.07820985	0.1899669	0.20031741	0.2992756	0.012105807	0.021884521
à	0.02818072	0.02524662	0.003942903	0.014915827	0.02226827	0.030097203	0.04502331	0.0894467	0.086417094	0.21917476	0.41823906	0.0008921581	0.016155412
r	0.022034718	0.022041138	0.022069307	0.022504656	0.02379273	0.027340548	0.041010223	0.06956558	0.19636244	0.2276298	0.2120403	0.020242391	0.093366206
o	0.018608695	0.017802827	0.006712672	0.014718893	0.01833082	0.023730498	0.04039541	0.07464932	0.19549085	0.24386577	0.31443313	0.0062463665	0.025014767
n	0.024145816	0.024946788	0.02429097	0.024937423	0.025325805	0.02618317	0.029120121	0.034793507	0.06286367	0.08164412	0.28723562	0.14060679	0.2139063
t	0.028896116	0.028951373	0.02596785	0.028637843	0.029732015	0.031834684	0.03858179	0.053676218	0.12828052	0.1764676	0.39189777	0.013377571	0.02369861
a	0.33033958	0.04707398	0.01721519	0.01870543	0.023191495	0.031103984	0.023815522	0.08423069	0.014958051	0.01400478	0.30480176	0.000234894	0.09032456
s	0.01834864	0.018623628	0.017874869	0.018540693	0.018788522	0.019246556	0.020731665	0.023589259	0.038460594	0.050026163	0.18816148	0.25013	0.31747797
i	0.036767118	0.030510414	0.0031677156	0.014175784	0.02298192	0.030520752	0.035770796	0.04771876	0.0359596	0.090684555	0.46095598	0.047238655	0.14354794
n	0.02221582	0.02254584	0.016124424	0.02116203	0.022180794	0.022889744	0.023877887	0.025499102	0.03300046	0.038462646	0.12842467	0.25310242	0.37051412
a	0.030998517	0.031173255	0.02690002	0.030413514	0.031201236	0.032085553	0.03427288	0.038670626	0.058907118	0.07738187	0.27080774	0.2636781	0.07350959
