 	ora	io	sto	studiando	di	diventare	medico	</S>
à	0.9863304	0.0041598114	0.009408807	8.091063e-05	1.3134413e-05	4.9305036e-06	1.178458e-06	7.393686e-07
r	0.9981881	0.001810839	9.113601e-07	4.1929358e-08	1.9576921e-08	1.8431342e-08	1.2515753e-09	1.2191037e-09
t	0.026107159	0.9082876	0.06538867	0.00020295075	1.2787845e-05	8.7039973e-07	1.2443715e-08	1.6253261e-09
e	0.3327168	0.6650936	0.0021033322	4.641702e-05	3.9640607e-05	1.8734791e-07	4.0766786e-08	8.353397e-09
n	0.042066325	0.95769835	0.00023519584	1.420287e-07	1.6922643e-08	7.545774e-09	5.4437734e-09	2.9716298e-09
a	0.116185784	0.8759222	0.0077855773	0.00010614023	3.6313628e-07	7.6588655e-09	1.12263025e-10	2.4271129e-11
i	0.1029832	0.6860211	0.21094698	4.8661346e-05	1.1067013e-07	2.0418979e-08	8.977806e-10	1.6633337e-09
v	0.16753072	0.2918746	0.52957815	0.0108614545	0.00015313856	1.854039e-06	1.5922037e-08	5.9999756e-08
ò	0.0052828286	0.18984091	0.7874981	0.0066923513	0.01050867	0.00017424434	2.6485777e-06	2.2266187e-07
s	0.04790301	0.31412584	0.6005486	0.03649116	0.00092674996	4.121627e-06	1.2054082e-07	3.3027476e-07
t	0.038062163	0.3057526	0.6291697	0.025351774	0.0016208651	4.0912822e-05	1.8063156e-06	1.18964245e-07
è	0.0001312417	0.6453955	0.35343826	0.0010145064	1.4997459e-05	4.3390314e-06	1.1548663e-06	8.6202284e-08
o	0.09832585	0.16275881	0.52019954	0.1955992	0.02294473	0.00017061761	6.995651e-07	5.8470926e-07
s	0.044124097	0.07116709	0.24365218	0.5305386	0.11004659	0.000469084	1.238237e-06	1.05303e-06
t	0.05341856	0.09681858	0.29121926	0.53549206	0.021711174	0.0013063466	3.0530886e-05	3.5194007e-06
u	0.00059076137	0.06286614	0.8335808	0.09090424	0.011663107	0.00039171014	4.2118504e-07	2.8081024e-06
d	0.06956002	0.07828675	0.12848197	0.4305215	0.28836137	0.004295112	0.00033557275	0.00015775485
i	0.0223748	0.047540147	0.20499678	0.57704926	0.13274054	0.010705135	0.0014734105	0.0031199388
è	0.037506633	0.0490858	0.06929564	0.26148587	0.56078184	0.021076683	0.0005371333	0.0002303364
o	0.025199454	0.029537527	0.06673867	0.32723805	0.5395433	0.004672681	0.005739583	0.0013307313
n	0.049601056	0.051351804	0.062266566	0.20162497	0.30634418	0.20636007	0.11369659	0.008754719
a	0.060105655	0.06247073	0.071325846	0.18113144	0.33827573	0.23215331	0.039342724	0.015194611
g	0.059018027	0.059899792	0.06323899	0.1127689	0.22557569	0.30805874	0.15384309	0.017596776
h	0.049583726	0.08679459	0.11449464	0.38243598	0.10712926	0.18408372	0.07220557	0.0032724885
e	6.305014e-05	0.07341961	0.3842284	0.0807206	0.36665735	0.0331398	0.027980274	0.03379095
t	0.02784917	0.03036716	0.033084933	0.060452234	0.25616696	0.26347032	0.10124339	0.22736591
t	0.01710451	0.031604744	0.038660888	0.0919262	0.14078611	0.44972265	0.119314365	0.110880606
ò	0.00014358085	0.10966171	0.33867416	0.18604878	0.21311697	0.019416818	0.11204218	0.020895766
m	0.02330873	0.023452504	0.024421224	0.033615287	0.10824886	0.07298256	0.3797422	0.33422866
e	0.017338077	0.01923175	0.020399995	0.02833815	0.09592658	0.13849169	0.37669158	0.30358213
s	0.019468289	0.023281017	0.023521792	0.02563037	0.041425582	0.07283964	0.36561236	0.42822102
s	0.012009511	0.032284513	0.035342757	0.027849596	0.04797872	0.11657559	0.5097513	0.21820801
è	0.00026316594	0.14644542	0.3108729	0.09102568	0.21586272	0.02208527	0.18320227	0.030242633
r	0.017651785	0.017695528	0.017962128	0.020414721	0.0392662	0.06698644	0.41400078	0.4060224
e	0.015290068	0.016027205	0.016524611	0.020356564	0.05384174	0.10108059	0.3866452	0.39023402
</S>	0.016332012	0.022612972	0.022694724	0.02333022	0.027845219	0.036572706	0.36903834	0.48157385
