 	i	bambini	piccoli	li	vestono	i	genitori	</S>
a	0.71206015	0.2793663	0.0084514525	0.00012191679	8.009651e-08	3.2682802e-08	9.543257e-09	1.3175007e-08
p	0.06835364	0.9315075	0.00013883908	1.12525935e-08	1.1234681e-09	1.0176827e-09	8.721254e-10	8.1951573e-10
e	0.6501915	0.025293889	0.0032611282	0.3212386	1.4165985e-05	6.1211557e-07	3.7669416e-08	9.581734e-09
t	0.2624054	0.7363408	0.0011180814	0.00013564396	4.1841567e-08	6.0918115e-09	2.467519e-09	5.513051e-10
à	0.32653096	0.5791126	0.0077694617	0.086432494	0.00014648789	7.683677e-06	3.3524194e-07	1.802861e-08
c	0.13040866	0.45304096	0.4141332	0.0024168277	2.8991408e-07	3.9592727e-08	2.6047475e-09	2.8497835e-08
i	0.2208807	0.65503144	0.037582196	0.086422004	8.202516e-05	1.2495849e-06	2.886744e-07	5.045075e-08
a	0.06000238	0.18163766	0.5228862	0.23547193	1.7373528e-06	3.855221e-08	1.4291783e-08	4.1233172e-09
k	0.058323435	0.09067407	0.30372235	0.5468822	0.00039250744	4.9028017e-06	5.888863e-08	3.7996548e-07
è	0.4399825	0.2829018	0.0030203252	0.25667164	0.0030895346	0.014173892	0.00011327484	4.6932244e-05
c	0.028771637	0.04057723	0.48861825	0.43486866	0.0066349963	0.00047031962	5.438515e-05	4.4336143e-06
c	0.03786586	0.069495425	0.30033067	0.5866352	0.0050352	0.0005368309	4.9113787e-05	5.175847e-05
i	0.069833875	0.052094154	0.006097149	0.8718725	7.789994e-05	2.1147882e-05	2.9255077e-07	2.930991e-06
a	0.035064254	0.040200993	0.3815131	0.3769665	0.06790423	0.09648929	0.00010524002	0.001756394
u	0.03412608	0.037072852	0.23844531	0.2508122	0.27564245	0.15575305	0.0024624954	0.0056855227
s	0.119745664	0.120069884	0.07597353	0.18217206	0.40042132	0.0762667	0.006676028	0.018674819
e	0.4233994	0.089443356	0.0030838845	0.43857536	0.030085426	0.010882861	0.00030993795	0.0042199343
n	0.043471914	0.04288685	0.082485266	0.102383785	0.41185012	0.29330215	0.009672404	0.013947455
d	0.03929698	0.03839182	0.057455324	0.072678015	0.5113824	0.1470167	0.046815313	0.08696349
ì	0.053890675	0.033969343	0.00057678897	0.9006869	0.0034146514	0.00018414269	6.58078e-05	0.007211651
n	0.01128784	0.0116499225	0.043465868	0.038943652	0.23950054	0.2617039	0.18288007	0.2105682
n	0.021174463	0.023232404	0.1424926	0.14200488	0.13812964	0.30751452	0.006407944	0.21904355
u	0.008003413	0.044543248	0.00025818765	0.8802911	0.004728949	0.0070153177	0.0005255691	0.054634266
n	0.027995465	0.028909793	0.036619145	0.036688663	0.13418068	0.34689513	0.07029923	0.31841192
e	0.09935811	0.070044056	0.06603697	0.124808356	0.31229797	0.117864184	0.04081029	0.1687801
i	0.02374415	0.023586132	0.023458464	0.02497899	0.05435414	0.10342971	0.360824	0.38562435
g	0.041716877	0.041717265	0.042688575	0.04296415	0.07234741	0.113471106	0.49300736	0.15208727
e	0.33688748	0.077505745	0.00616715	0.34205174	0.018445414	0.0471271	0.0535169	0.118298516
n	0.015883176	0.01586973	0.017721692	0.01791552	0.07224388	0.14311942	0.32975268	0.38749385
i	0.012676711	0.01575489	0.01419224	0.02040232	0.12315086	0.1645512	0.2985285	0.35074332
t	0.017689753	0.017734315	0.019030182	0.019051015	0.052993305	0.1050834	0.33553624	0.4328818
ò	0.036958832	0.031816296	0.0063830228	0.04013026	0.043893382	0.09970294	0.28361973	0.45749548
r	0.02033654	0.02032776	0.02137292	0.021257592	0.044026103	0.0795017	0.32217205	0.4710053
i	0.023371587	0.022831088	0.019896744	0.024272064	0.0442054	0.07815406	0.30608222	0.48118678
</S>	0.038527507	0.039849795	0.03808603	0.04017404	0.044649683	0.050535765	0.15738142	0.5907958
