 	l	ha	scritta	</S>
t	0.9983151	0.0013647118	0.0003178941	2.3995149e-06
o	0.9337353	0.066256136	8.2251445e-06	3.1056678e-07
è	0.14795251	0.85204345	4.761232e-07	3.5246696e-06
g	0.13332961	0.85994905	0.0026657756	0.0040555233
r	0.14930749	0.39222804	0.4328115	0.025653023
a	0.62713027	0.29923695	0.073376276	0.00025652352
t	0.058698982	0.16833712	0.47965392	0.29330993
s	0.038005162	0.09748728	0.6125222	0.25198537
e	0.15664172	0.06525008	0.7639839	0.014124341
</S>	0.029353395	0.037315294	0.33171484	0.6016165
