 	deve	essere	bianco	</S>
è	0.9682948	0.02981001	0.001887192	8.058936e-06
n	0.9903824	0.009614915	7.7227463e-07	1.902204e-06
a	0.88140684	0.09920244	0.01745465	0.0019360369
è	0.13432822	0.86262906	0.00068050425	0.00236223
n	0.1511379	0.67108786	0.12022327	0.05755099
e	0.32854214	0.3477263	0.2799509	0.043780744
à	0.22238448	0.43074894	0.2774694	0.06939719
s	0.074888624	0.20213899	0.48732138	0.23565106
p	0.053075198	0.078143924	0.79285884	0.075922035
r	0.009964736	0.0048947316	0.98288375	0.002256785
o	0.050929315	0.032023277	0.9151399	0.0019074507
</S>	0.031164624	0.037127465	0.24207449	0.6896334
