 	non	ha	mangiato	mai	un	rustico	</S>
e	0.9991703	0.00060735724	0.00011940985	6.8746136e-05	3.3330853e-05	5.7099936e-07	2.3426773e-07
n	0.979784	0.01955792	0.00064320693	1.31066e-05	1.6369983e-06	3.754713e-08	1.1421361e-07
è	0.29075944	0.66561496	0.041999996	0.001531521	9.412617e-05	6.4638983e-09	2.2924049e-10
c	0.12371734	0.39051104	0.48482707	0.0009333244	1.1245297e-05	7.451947e-09	6.1458046e-08
h	0.05908701	0.19458854	0.64211476	0.1031859	0.0010235123	1.0331883e-07	1.7244662e-07
i	0.08166342	0.7018652	0.15553114	0.060707103	0.00023274265	4.5420475e-07	1.4807248e-08
f	0.05039623	0.25915876	0.53335357	0.15522942	0.0018608501	6.04458e-07	5.1820854e-07
a	0.13137774	0.51617545	0.25281522	0.09439349	0.0051403143	8.278824e-05	1.4928105e-05
m	0.07594035	0.11849237	0.4368565	0.34863907	0.020033281	3.3939876e-05	4.3577397e-06
è	0.11587364	0.20592888	0.18448982	0.46807885	0.015209195	0.008399714	0.0020199292
n	0.0363617	0.047040183	0.1542647	0.4715091	0.28987107	0.0008577811	9.539199e-05
a	0.04615778	0.049123827	0.2899342	0.41079447	0.20334466	0.0005293123	0.00011574613
m	0.031942587	0.035371084	0.06827387	0.28380638	0.5678597	0.0036977525	0.009048684
à	0.10006986	0.11448374	0.080273055	0.521084	0.029259803	0.118852586	0.035976995
i	0.03561023	0.03770447	0.057110187	0.20086811	0.54777527	0.07286103	0.048070688
è	0.03935911	0.041165568	0.05690437	0.18243846	0.5860142	0.06361717	0.03050104
n	0.038743768	0.03975677	0.048724473	0.11540062	0.4002043	0.32188687	0.03528317
a	0.11417985	0.11493955	0.121208414	0.1612136	0.37455732	0.072527304	0.041373964
n	0.07326408	0.07373353	0.07557796	0.09032892	0.17514823	0.431116	0.08083132
r	0.031114783	0.03159884	0.034987025	0.06104979	0.17499703	0.49414572	0.17210683
ù	0.03775869	0.073034525	0.012581459	0.05698133	0.03885125	0.65759456	0.12319821
s	0.018966712	0.019095149	0.0202108	0.02776205	0.07459522	0.40252516	0.43684492
t	0.017955706	0.01840739	0.01998872	0.03285741	0.10701179	0.37224877	0.43153024
i	0.0871163	0.2591796	0.04264402	0.089798875	0.06928497	0.42718387	0.024792379
k	0.029783836	0.029868308	0.03014476	0.03193487	0.041979644	0.25404575	0.58224285
o	0.026963297	0.02843576	0.02488179	0.031598948	0.04077575	0.40781713	0.4395273
</S>	0.038633	0.038764734	0.038915563	0.04002853	0.04608951	0.2060269	0.59154177
