 	vuole	pianto	</S>
i	0.9147528	0.08509949	0.00014775904
t	0.99341714	0.0065687634	1.4089904e-05
è	0.9628368	0.035748094	0.0014150894
l	0.59098196	0.40862232	0.00039575127
i	0.9756216	0.023313351	0.0010650977
k	0.38148683	0.60351217	0.015000963
l	0.091957904	0.43076122	0.4772809
a	0.6652857	0.31104138	0.023672936
m	0.043349043	0.46383476	0.4928162
m	0.04631415	0.4750869	0.478599
è	0.5288509	0.41578543	0.055363692
n	0.09471315	0.25759536	0.6476915
o	0.044868078	0.49949268	0.4556393
</S>	0.034002777	0.24031907	0.72567815
