 	è	pericoloso	di	nuotare	di	notte	</S>
è	0.775264	0.22407869	0.00010049677	0.00052454707	2.9302344e-05	2.096449e-06	8.070885e-07
p	0.5865954	0.41330117	0.00010224893	9.532329e-07	1.06436744e-07	7.663719e-08	1.0892252e-08
e	0.4366681	0.53543997	0.027447395	0.00027507442	0.00015569394	1.25146125e-05	1.1851519e-06
r	0.28833985	0.7040079	0.0076505123	1.6429508e-06	3.440531e-08	1.484288e-08	2.1333375e-09
i	0.2710306	0.68231034	0.045909483	0.0005946864	0.0001547261	2.2790236e-07	5.081255e-09
k	0.1488509	0.28756893	0.563514	6.58758e-05	2.525977e-07	3.0571012e-08	4.291004e-09
o	0.310677	0.4636793	0.2019548	0.0050616274	0.018288078	0.0003351695	4.0265277e-06
l	0.06632185	0.106133625	0.82064277	0.0067759156	0.00012520314	3.8419157e-07	2.7695435e-07
ò	0.22783263	0.32837972	0.3478414	0.00854764	0.080808826	0.0063658147	0.00022401458
s	0.059828848	0.08733318	0.779908	0.069518626	0.0032872166	0.000118763426	5.38466e-06
o	0.052348956	0.10505849	0.7890589	0.041721135	0.011186903	0.00051378005	0.000111755726
n	0.053932372	0.0596044	0.34302217	0.51527995	0.027995974	0.00013327337	3.187811e-05
a	0.059864853	0.07150555	0.4744689	0.29052603	0.10181195	0.001536319	0.00028641938
n	0.034396064	0.036402673	0.16031888	0.53478163	0.21502277	0.015536105	0.0035418677
a	0.08457586	0.08652051	0.23478626	0.30655187	0.2203396	0.053447083	0.013778744
r	0.030175084	0.03039315	0.074894145	0.35462496	0.44889784	0.04790028	0.013114564
è	0.10109026	0.09948018	0.16802685	0.20001175	0.29939356	0.09608581	0.035911545
t	0.022043584	0.022514505	0.044370215	0.21664506	0.4231019	0.20176014	0.06956469
s	0.025723346	0.024943717	0.06119588	0.27144194	0.43675098	0.0314028	0.14854127
i	0.46947646	0.10815567	0.045285698	0.0002988183	0.35014763	0.020743474	0.005892359
à	0.02370872	0.0237711	0.02664545	0.04215047	0.22240083	0.43915632	0.22216713
t	0.022982901	0.02311239	0.028440177	0.08072459	0.3317361	0.47389245	0.0391114
s	0.046058834	0.042985957	0.05002722	0.08530849	0.36966076	0.30430672	0.10165196
e	0.12939158	0.10781912	0.012440735	0.00010574377	0.5507297	0.18024647	0.019266676
n	0.022706982	0.022633472	0.023297451	0.017849289	0.063433	0.3769738	0.47310603
ì	0.022309491	0.021890344	0.023303749	0.0337972	0.1566809	0.46245924	0.27955908
t	0.023541925	0.023550155	0.024048008	0.028258879	0.06220366	0.38541114	0.45298615
t	0.02340643	0.021292815	0.023845872	0.027617624	0.07248682	0.39754722	0.43380317
a	0.07340269	0.025937537	0.017964926	4.344451e-05	0.06889686	0.80246675	0.0112877665
</S>	0.030712152	0.030772151	0.031000772	0.023454873	0.0467181	0.2743952	0.5629468
