 	l	ho	sentito	che	veniva	</S>
o	0.9978551	0.0019189628	0.00018116564	3.1500847e-05	1.2556381e-05	5.826862e-07
n	0.83585745	0.14927171	0.014861324	9.226374e-06	1.2210107e-07	1.1238924e-07
ì	0.3315937	0.6602059	0.005889134	0.0023105713	5.202455e-07	1.116746e-07
k	0.1760266	0.40147683	0.4065119	0.015982153	2.1550946e-07	2.4510377e-06
u	0.099040076	0.2283625	0.63858384	0.03373625	0.00010006718	0.0001772219
s	0.1572311	0.1981779	0.5649183	0.07938607	3.0906085e-05	0.00025579907
a	0.09869584	0.1872478	0.60393065	0.10941533	0.000532253	0.00017811198
k	0.06705283	0.0815913	0.15215838	0.6956078	0.0021813624	0.0014083249
a	0.1937594	0.17757478	0.320371	0.11145289	0.17884304	0.01799885
è	0.06520235	0.07070923	0.09661297	0.4749228	0.25430796	0.038244724
r	0.043750495	0.048489932	0.07088794	0.4003135	0.38865605	0.047902055
k	0.042548407	0.04454866	0.055072315	0.19737782	0.44596803	0.21448481
a	0.09953914	0.01344805	0.062411483	0.018227357	0.7993995	0.0069745174
t	0.024642307	0.025036056	0.026750559	0.053552903	0.37058064	0.4994376
o	0.035008837	0.03235477	0.033057664	0.08523358	0.5743646	0.23998053
</S>	0.03206385	0.03224504	0.033031583	0.044316854	0.26812753	0.59021515
