 	non	mi	aspetti	non	vengo	</S>
m	0.04343652	0.0001710691	0.956372	1.2581952e-05	7.5731296e-06	3.0062768e-07
ì	0.9684259	0.0049369326	0.026613984	2.1558462e-05	1.6553179e-06	2.470199e-08
m	0.33556178	0.0019450753	0.66249156	1.5355207e-06	6.8210806e-09	8.360316e-08
e	0.5829795	0.34089574	0.07597945	0.00013095103	1.4222605e-05	2.2554812e-07
m	0.04237204	0.047118347	0.9103623	0.00014598176	1.2419441e-06	2.4787812e-07
ì	0.018835807	0.97160316	0.0057328627	0.002460244	0.0013643	3.7485595e-06
n	0.15431492	0.44020644	0.32850924	0.0643731	0.011922316	0.000674087
i	0.11852851	0.45106494	0.31644216	0.09386712	0.018944072	0.0011531789
e	0.04872787	0.09360195	0.073793255	0.70958686	0.0612285	0.013061624
n	0.052881274	0.062308986	0.059298456	0.5817299	0.22157331	0.022208141
è	0.081212334	0.07913979	0.015101603	0.3199766	0.37854353	0.12602618
r	0.033529613	0.036241043	0.03233326	0.22654541	0.59090763	0.08044306
k	0.04840023	0.054793034	0.016020138	0.29431835	0.5199015	0.06656678
o	0.07145488	0.6337529	0.02838071	0.13416654	0.07312539	0.059119616
m	0.022044772	0.022953108	0.02249868	0.09118098	0.33325297	0.50806946
e	0.037704814	0.07101006	0.004195522	0.027992751	0.7040039	0.15509291
</S>	0.030411398	0.030808821	0.030642245	0.04892801	0.22971803	0.6294915
