 	vengono	vestiti	</S>
è	0.9915126	0.008426716	6.063914e-05
r	0.99700755	0.0026704888	0.0003219736
k	0.58551425	0.4054526	0.009033107
u	0.9998467	0.00015025	2.9865791e-06
t	0.26570827	0.7267905	0.0075012594
t	0.23643486	0.6903319	0.07323327
e	0.9372274	0.05881555	0.0039569726
n	0.060287304	0.52742696	0.41228575
d	0.01825878	0.64407355	0.33766773
i	0.13802375	0.85323656	0.008739666
m	0.034860514	0.37154028	0.5935992
è	0.10779793	0.5567644	0.33543763
n	0.036411557	0.16564687	0.79794157
a	0.09018957	0.46795928	0.44185117
</S>	0.048839442	0.09524074	0.8559198
