 	che	non	li	aspetiamo	</S>
n	0.97684324	0.02271855	0.00023515274	0.0002015877	1.4940803e-06
a	0.96037996	0.039615	3.910355e-06	1.0362072e-06	6.3702494e-08
m	0.12914176	0.87063724	0.00022051344	3.023139e-07	9.697206e-08
i	0.22201625	0.108718745	0.48233044	0.14463194	0.04230258
t	0.11689447	0.5697467	0.31104618	0.0013796675	0.0009330087
u	0.19376796	0.20243905	0.4844877	0.029046731	0.09025854
s	0.051128604	0.17570145	0.56334776	0.19136287	0.018459328
m	0.038160022	0.057150617	0.22767688	0.25349864	0.4235139
ì	0.018345227	0.08821801	0.01836079	0.033484075	0.84159195
n	0.05569292	0.09071579	0.29428187	0.15248889	0.4068206
o	0.060085803	0.27003682	0.50471234	0.0558376	0.10932739
m	0.023561092	0.030620072	0.09278425	0.3898491	0.4631855
e	0.29830524	0.14945744	0.28655756	0.17909563	0.086584106
</S>	0.026321111	0.028321018	0.044431727	0.3093274	0.59159875
