 	viene	fabbricato	</S>
è	0.7704455	0.22851673	0.0010377081
r	0.5062058	0.4881821	0.005612089
k	0.1972507	0.79010165	0.01264766
e	0.84715855	0.15156998	0.0012714445
t	0.09579028	0.6731557	0.23105398
e	0.5930986	0.39705724	0.00984418
f	0.04771183	0.29890573	0.6533824
a	0.12340088	0.51927006	0.35732904
b	0.0398843	0.1664607	0.793655
b	0.041569624	0.22322401	0.7352064
r	0.18339323	0.66374004	0.15286669
i	0.27666	0.3072274	0.41611257
k	0.0024558734	0.7193889	0.27815524
à	0.0016303404	0.14277083	0.85559887
t	0.049352847	0.17090559	0.7797416
o	0.20800431	0.18364272	0.60835296
</S>	0.11517094	0.15704621	0.7277828
