 	siete	cucinato	</S>
a20	0.086772935435	0.5862578	0.32696930175
a31	0.0291826116017	0.86017128	0.110646130483
a18	0.0239849590339	0.923690486667	0.0523245362277
a21	0.163873435345	0.683830232222	0.152296309409
a37	0.470231561782	0.331585429407	0.19818300647
a21	0.584184080594	0.156162752469	0.25965316549
a31	0.472446663531	0.13079241149	0.396760925163
a18	0.489364711177	0.16657716383	0.344058141721
a31	0.487272590392	0.220511341277	0.292216090574
</S>	0.418143405196	0.271623130638	0.310233475287
