 	sono	vestita	</S>
a31	0.0791170649813	0.15603791	0.764845025
a20	0.0263727072988	0.239144326667	0.734482948333
a31	0.0087924777293	0.453893472222	0.537314029444
a41	0.00299048562863	0.598988614074	0.398020893148
a46	0.00230229304954	0.559437178025	0.438260524383
a18	0.0171712244498	0.359516992675	0.623311774794
a24	0.0495811838166	0.170248867558	0.780169948265
a31	0.0772578546055	0.117781469186	0.804960682755
a11	0.124658491535	0.095776193062	0.779565337585
a0	0.325376540512	0.0697756326873	0.604847845862
a15	0.587879180171	0.0623621758958	0.349758655287
a8	0.73581389339	0.0604340086319	0.203752131762
a39	0.703890814463	0.0914354728773	0.204673743921
</S>	0.623802432231	0.124289761439	0.25190781196
