 	ho	finito	di	scrivere	</S>
a38	0.12766629175	0.04591751715	0.603833835	0.07650711415	0.146075199425
a31	0.0431781317827	0.01599672093	0.863549368333	0.0284183953167	0.0488573398295
a15	0.186508750627	0.0548170187567	0.629149159111	0.0443162096056	0.085208853681
a18	0.348129783542	0.185471422919	0.243925566037	0.0629870988685	0.159486177894
a31	0.264220277847	0.301200590973	0.217730888679	0.0558860419562	0.160962259298
a37	0.132241750949	0.257076230324	0.199435536226	0.0426396959854	0.368606826433
a31	0.0713237353163	0.151341620108	0.0869114554087	0.0208131093285	0.669610088811
a0	0.0630910684388	0.179834363369	0.0575579818029	0.0204226074428	0.679093959604
a31	0.18192194948	0.22325740779	0.060634339601	0.0738239381476	0.460362323201
a18	0.333288049827	0.20205267593	0.0796236422003	0.125780719383	0.259254847734
a31	0.316273883276	0.19801108531	0.127501200733	0.154158176461	0.204055615911
a39	0.288370441092	0.19469714177	0.156912290244	0.168711752154	0.191308368637
a20	0.281179820364	0.192717633923	0.169769043415	0.171225754051	0.185107739546
a31	0.236032180121	0.198008744641	0.181813627805	0.18987034135	0.194275123182
a8	0.251212636707	0.195612228214	0.180131479268	0.18455002045	0.188493684394
a20	0.258749162236	0.194648229405	0.178800163089	0.18199581015	0.185806681465
a31	0.225480237412	0.199108983135	0.18479584103	0.19485213005	0.195762820488
</S>	0.214831783706	0.200426341567	0.186828980515	0.198881410025	0.199031470244
