 	vuole	bianco	</S>
a20	0.1401020953	0.57024643	0.28965145
a31	0.0475196815667	0.827657543333	0.124822726667
a11	0.0173288914556	0.800224514444	0.182446575556
a31	0.00805721281853	0.710624951481	0.281317855185
a39	0.00689227160618	0.56655540716	0.426552348395
a20	0.0186662735354	0.367745679053	0.613588066132
a31	0.164258017845	0.281712939684	0.554029055377
a39	0.381344879282	0.250648499895	0.368006618459
a46	0.584919626427	0.212839929965	0.202240436153
a24	0.751625362142	0.128728079988	0.119646557051
a46	0.818304540714	0.0913984766627	0.090296974017
</S>	0.839500670357	0.0822492433314	0.0782500720085
