 	e	che	cucino	</S>
a31	0.18607286572	0.02496876435	0.414184795	0.37477358
a24	0.0621313148367	0.00999955935	0.559023611667	0.368845526667
a31	0.0232546616289	0.00646870978333	0.538993553889	0.431283095556
a11	0.012244947343	0.00770058176111	0.427695577963	0.552358918519
a46	0.010527236681	0.0657960774204	0.411975502654	0.51170121284
a41	0.051230087227	0.320806062473	0.298526557551	0.329437267613
a20	0.105526619076	0.583606107491	0.147353117517	0.163514105871
a36	0.139747243025	0.654654179164	0.098329420839	0.107269130624
a31	0.242180691008	0.537130396388	0.099245983613	0.121442915541
a46	0.290703580336	0.474448902129	0.107436275871	0.127411231847
</S>	0.256047390168	0.536574386065	0.103661204936	0.103717000924
