 	vogliono	girate	</S>
a31	0.147647714	0.088254969	0.76409732
a20	0.060139537	0.063402794	0.876457656667
a31	0.0241007576667	0.0529128346667	0.922986368889
a18	0.00988255465557	0.0544079398889	0.93570948963
a46	0.00491922341852	0.0642035366296	0.93087726321
a31	0.00769704457284	0.152077675543	0.84022530107
a3	0.0146926285243	0.278940011848	0.706367360357
a10	0.127910445175	0.322577670616	0.549511883452
a39	0.227378158392	0.333900276872	0.438721587817
</S>	0.216908759196	0.346187118436	0.436904158908
