 	vuole	vuole	mangiato	caldo	</S>
a37	0.30776391085	0.05005087235	0.018808056	0.5022735	0.1211035885
a31	0.10467046754	0.0176722280833	0.00768243826667	0.82282837	0.0471464430733
a41	0.03813460487	0.0109133310944	0.00926100435556	0.89688256	0.0448084755978
a31	0.0160072193333	0.0083409263448	0.00934341719852	0.91584584	0.0504626335326
a11	0.0140005508211	0.0245963320949	0.0299346688128	0.737574196667	0.193894286178
a20	0.0254026802737	0.063345457365	0.0851264362709	0.414656615556	0.411468828726
a31	0.0409626154246	0.0794559407883	0.121337558757	0.379281171852	0.378962726242
a18	0.102763152808	0.115313571929	0.216317136252	0.357592540617	0.208013622747
a31	0.219209420936	0.19547670731	0.270090178751	0.210210883539	0.105012811582
a20	0.243474430312	0.234981522437	0.281874462917	0.174017204513	0.0656523645273
a21	0.215701673437	0.267284354146	0.321982097639	0.149657278171	0.0453746198424
</S>	0.228228021718	0.301924717073	0.31509564882	0.113484819085	0.0412668264212
