 	l'	ho	sentito	che	veniva	</S>
a41	0.577175205	0.178006942	0.10880557965	0.029706214922	0.033542632275	0.0727634175
a31	0.800309635	0.086915761	0.0369516232033	0.0099353632	0.0112857154683	0.0546018741667
a24	0.603458356667	0.0342498851667	0.0130031247544	0.00358356585467	0.0040421021961	0.341662934722
a15	0.281911637222	0.173419000889	0.0864381450515	0.0238797584616	0.00754102524537	0.426810391574
a28	0.210154819074	0.334911410296	0.226202518351	0.0516699648205	0.0132354307485	0.163825816525
a0	0.194287026358	0.413375970099	0.272108046117	0.0447760799402	0.0112442115828	0.0642086558417
a31	0.137616780786	0.3935028167	0.338576398706	0.0676031916467	0.0215457711943	0.0411550539472
a11	0.0725477795953	0.298382965567	0.377792339569	0.138738603882	0.0632702880648	0.0492680269824
a31	0.0592474505318	0.266889241856	0.298414446523	0.185457124627	0.119403472688	0.0705882269941
a39	0.114997216844	0.226601563952	0.224798155508	0.180880978209	0.146363884229	0.106358178998
a20	0.160996658948	0.200036377984	0.182876851836	0.16624911607	0.152423048076	0.137417936333
</S>	0.160464444474	0.187768428992	0.177329905918	0.167567723035	0.158694004038	0.148175453166
