 	quest'	anno	che	viene	mangio	quanti	voglio	</S>
a23	0.1212428213	0.05117606865	0.418410155	0.0440538485	0.001652339275	0.085461365	0.1413218	0.13668169
a31	0.0594088126333	0.11091877865	0.529172401667	0.0224658338333	0.000636536831667	0.0503434713333	0.120989183333	0.106065045
a37	0.0469028162111	0.158067857883	0.419044980556	0.0439198519444	0.000844949833889	0.0444458837778	0.129407484444	0.157366216667
a20	0.025881665737	0.0836965322943	0.231877794852	0.0554571676481	0.00385935684463	0.139486496259	0.244242908148	0.215498078889
a31	0.0122801129123	0.0320466616648	0.099122347284	0.0308501388827	0.00654816028154	0.16587522542	0.394993876049	0.258283482963
a7	0.00622724177077	0.0131705443549	0.0506213067613	0.0382917922942	0.00549731332718	0.0913551874733	0.43250513535	0.362331507654
a10	0.00674222972359	0.018060925685	0.0393617499204	0.0471652934314	0.00392202294239	0.0587580768244	0.458868021783	0.367121682551
a41	0.0132700115745	0.0274217442283	0.0422021276401	0.0312823131438	0.0145558189141	0.0373505952748	0.484282527261	0.34963486085
a37	0.0207789081915	0.0332750170761	0.04008875188	0.0260460947146	0.0517200669714	0.0491137994249	0.406295639087	0.372681733617
a14	0.0238877207305	0.040188394692	0.0381549466267	0.0290947839049	0.0929768789905	0.0715610298083	0.339673723029	0.364462557872
a31	0.0171161591102	0.0333482208973	0.0383713735422	0.0766931593016	0.110416039663	0.122976709936	0.29390772101	0.307170639291
a20	0.0126289089034	0.0428509472991	0.0495641691807	0.0938894454339	0.104911553221	0.144157688645	0.29441316367	0.257584123097
a31	0.0106081976345	0.0491345657664	0.0604522817269	0.090072347478	0.120191061074	0.148238841548	0.288624241223	0.232678471032
a37	0.0117655402115	0.0849930885888	0.081116125909	0.0954658804927	0.126691293691	0.154476020516	0.246796897074	0.198695157011
a7	0.0221860837372	0.155499742863	0.0983750919697	0.0862756248309	0.13051152123	0.133219783505	0.205618995691	0.168313170337
a10	0.0259750305791	0.162975560954	0.0903070193232	0.099747758277	0.19391844041	0.138692977835	0.15365698523	0.134726259446
a7	0.0288471848597	0.146386766985	0.0827335084411	0.104447599426	0.252813626803	0.137386482612	0.128263215077	0.119121631149
a39	0.0447671316199	0.140106285662	0.0802794748137	0.103238121475	0.278499288934	0.129270154204	0.114472056359	0.109367460383
a10	0.04787196454	0.126808431887	0.0765405216046	0.099692768825	0.320616476311	0.125159650068	0.10316951012	0.100140653461
a32	0.04249036218	0.121700083962	0.0682424418682	0.095931114275	0.378151582104	0.119012330689	0.0876078833733	0.0868642078203
a19	0.124446167393	0.142885904654	0.0548704019561	0.0820856860917	0.370145844035	0.100594415563	0.0624253184578	0.0625462652734
a31	0.148776339131	0.145891008218	0.0707526319854	0.0929564053639	0.282844451345	0.105822268521	0.0762837468193	0.0766731444245
</S>	0.0934945445655	0.129426029109	0.0947372109927	0.114958342682	0.228733940673	0.12456978426	0.10668617341	0.107393972212
