 	quando	Giovanni	venne	a	casa	la	sera	andava	molto	stanco	perché	aveva	lavorato	tutta	la	settimana	</S>
a8	0.00294023449084	0.0181965612417	0.015241441265	0.0069266721	0.003572123085	0.00903776	0.04023407	0.03592675	0.0762790885	0.3724460125	0.0720765075	0.0227116805	0.0403235325	0.0746798745	0.1142281498	0.0284533238	0.066726272
a39	0.000980148094518	0.0060658909658	0.00511637576033	0.002349533801	0.00143508071833	0.016312738	0.172845336667	0.170197907667	0.0316956055	0.380434514167	0.0709328501667	0.0141533624	0.0213258778333	0.0283139026333	0.0386403674667	0.0113426745667	0.02785787
a31	0.000342902033188	0.00202778111672	0.00177873718878	0.000886844914667	0.00581961220611	0.0663755376667	0.321311825556	0.306983015889	0.0164313421667	0.156837836056	0.0430369123889	0.0134393857	0.0143599412778	0.0121735228111	0.0138209821556	0.00922514662223	0.015148693
a20	0.000177856385729	0.000691405429573	0.00093878113626	0.000684537018222	0.0269847097354	0.117870749222	0.271790939852	0.229111375296	0.0141781020556	0.148937356685	0.0466256321296	0.0370003365667	0.0273143500926	0.018827096737	0.0281953973852	0.0148463365407	0.0158250676667
a24	0.000147830718576	0.000247970773524	0.00079046196542	0.000791455372741	0.0442477945785	0.129021006407	0.173068407951	0.118435641765	0.0165295320185	0.220252652228	0.0645945307099	0.0588163231889	0.0412728863642	0.0285741902457	0.0565265704617	0.0233420135136	0.0233407632222
a8	9.05265152687e-05	9.04362466813e-05	0.00046620386814	0.000537912811747	0.0302706762728	0.092248819469	0.117751325984	0.0727975239217	0.0210946300062	0.300573800743	0.0762011202366	0.0855136687296	0.0560752254547	0.0361018214152	0.0625773884872	0.0235888625045	0.0240200417407
a24	0.000309700334166	6.47912574004e-05	0.000984158315713	0.000978689924749	0.0275081351709	0.0708286021563	0.084684375328	0.0502432559739	0.0233649023354	0.290487430248	0.0765789147455	0.0952065849099	0.0649007334849	0.0460078924717	0.106764221162	0.0295166725015	0.0315709189136
a31	0.000399094604722	5.78859039001e-05	0.0011855235119	0.00119031559825	0.030503375057	0.0910594457188	0.101765695109	0.0603000533246	0.0277943404451	0.214757650083	0.0822530862485	0.0701722056366	0.0519482458283	0.0429514058239	0.130872533721	0.0433026111672	0.0494865389712
a20	0.000315927771574	0.0001198505094	0.00104818644397	0.000771920956083	0.0212389773523	0.10295096524	0.102910406703	0.0662151424415	0.0372257501484	0.164922176694	0.0714374680828	0.0585060988789	0.0463393839428	0.0535368969413	0.153851137907	0.0513937773891	0.0672159239904
a31	0.000375084313858	0.000154849865133	0.00113013093466	0.000869888352028	0.0188556694508	0.11268766508	0.112448460568	0.0690743988138	0.0401142840495	0.098518618898	0.0472952170276	0.0498695646263	0.0436639019809	0.0648075223138	0.190479112636	0.0654372007964	0.0842184013301
