 	sto	e	cucino	</S>
a31	0.039759003525	0.01768259312	0.43068355	0.51187485
a20	0.013799303025	0.08681423312	0.463361796667	0.436024656667
a31	0.005601986275	0.11392325504	0.403925878889	0.476548892222
a37	0.00309133449167	0.04333159668	0.297496896296	0.656080184074
a18	0.00256645709722	0.02174133256	0.267129528765	0.708562671358
a31	0.0187354746657	0.0222598021867	0.266847706255	0.692156980453
a20	0.0362871868886	0.199484279396	0.220178475418	0.544050020151
a31	0.148263168963	0.326041293132	0.168693631806	0.357001893384
a28	0.184332417988	0.404374217711	0.152950823935	0.258342527795
a33	0.126585967663	0.58631809257	0.128545584645	0.158550330598
a31	0.216140829221	0.508042137523	0.129827124882	0.145989878199
</S>	0.288799224611	0.374913578761	0.158235357441	0.178051814099
