 	il	dito	si	gonfiò	</S>
a39	0.214160550425	0.0313312835	0.1224021655	0.212353425	0.41975258
a13	0.0718848424917	0.116103320167	0.223968418833	0.197877919667	0.390165493333
a31	0.0308751118972	0.326711040056	0.328216519611	0.124283814556	0.189913521111
a20	0.0201355506324	0.447709246685	0.306836786537	0.104725704852	0.120592717037
a31	0.0198094722108	0.408099615562	0.314528362179	0.126157821617	0.131404712346
a11	0.0382682717369	0.361695531854	0.298620980726	0.140635210539	0.160779980782
a31	0.0935185572456	0.336927880618	0.278566470242	0.126786876846	0.164200200261
a39	0.131187255749	0.256675240206	0.306607696747	0.135199798949	0.170330026754
a31	0.13917736525	0.174780443402	0.347187888916	0.161498566316	0.177355772251
a41	0.127869738417	0.137979314467	0.356870922972	0.187221945439	0.190058114084
a46	0.108037562806	0.102377119489	0.352742960991	0.22238075848	0.214461614695
a31	0.107917107602	0.0719737578297	0.33514242033	0.258160729493	0.226805991565
</S>	0.104480058801	0.0477395939148	0.338141970165	0.278579899746	0.231058490783
