 	non	li	aspettiamo	più	</S>
a3	0.4884499825	0.01367608725	0.000762025025	0.259232635	0.2378792637
a31	0.8012320375	0.0163294750833	0.000577126051667	0.0867644052667	0.0950969453667
a35	0.740491265833	0.0169256093611	0.00138367289389	0.135601325356	0.105598140122
a31	0.698922355278	0.0398052634537	0.012296579598	0.153672196952	0.0953036218407
a13	0.613460801759	0.187623727818	0.082616968866	0.066347157484	0.0499513584136
a31	0.338954287253	0.435497289273	0.135094892955	0.0496889771613	0.0407645698045
a15	0.180247687418	0.551560429758	0.169402967652	0.0599980837204	0.0387908566015
a31	0.235091037473	0.437023133253	0.194648432551	0.0866039762401	0.0466334445338
a46	0.248106494824	0.371886177751	0.204684004184	0.123261843747	0.0520614881779
</S>	0.146764840912	0.418622053875	0.231697752092	0.146633261874	0.056282084089
