 	non	ho	cosa	a	fare	</S>
a8	0.18863129219	0.2419463048	0.27517695	0.210298062	0.0409826225	0.0429647725
a31	0.06307775451	0.0869659264667	0.496240616667	0.250210220667	0.0505111288333	0.0529943175
a37	0.0213484794567	0.0413074358222	0.460724263556	0.138716717556	0.134720049611	0.203183025833
a11	0.00916724495223	0.0366145929407	0.274655192519	0.0792351565187	0.220879333204	0.379448491944
a13	0.00821985348408	0.0410610076469	0.329536894173	0.0689790855062	0.194860734401	0.357342447315
a20	0.00752214916136	0.0495404468823	0.469194971391	0.0665656401687	0.1488722048	0.258304599105
a31	0.0292257187205	0.221661215627	0.415862303797	0.0597475603896	0.103481338267	0.170021866368
a8	0.0359483279735	0.274037893209	0.366777934599	0.109169095463	0.0871588294223	0.126907898789
a31	0.0696505277245	0.19963087907	0.333680124866	0.158675018488	0.108722029807	0.129641379596
a46	0.0837839859082	0.207062913023	0.338730621622	0.153987089496	0.103279929936	0.113155449865
a8	0.0480465519694	0.250063907674	0.399224077207	0.160315729832	0.069625819312	0.0727239266217
</S>	0.0484648459847	0.321393753837	0.347489463603	0.165795829916	0.059318243656	0.0575378733109
