 	non	aveva	dove	aveva	per	stare	</S>
a7	0.0207065192991	0.064775976367	0.57478279	0.091325838	0.20539065	0.0044159268	0.03860228095
a31	0.0069442244091	0.022293669167	0.822529576667	0.0431776026667	0.089429764	0.0022510289	0.01337411787
a29	0.00240172729637	0.00983516485567	0.600862446222	0.0221540820889	0.179757602	0.167198754233	0.0177901928767
a19	0.0103148814821	0.0193091222852	0.269316409407	0.0220443718963	0.310639534	0.234628829744	0.133746827626
a46	0.0180033961607	0.0404244424284	0.192850069802	0.0344543719654	0.329911101333	0.188513448248	0.195843175875
a31	0.0117704897536	0.0417892341428	0.273431389934	0.0471606573218	0.281539940444	0.196400669416	0.147907628625
a38	0.00576639271787	0.0273741587143	0.279583056645	0.0700058057739	0.238792116815	0.182504933139	0.195973536208
a31	0.0633248743393	0.145727653571	0.138998812215	0.0754919019246	0.195610098938	0.178352267713	0.202494372069
a20	0.0918833247798	0.27000373119	0.0934009307383	0.0861830006415	0.114483501313	0.177731132571	0.166314344023
a31	0.178552021593	0.268236387063	0.0636631432461	0.0768326562138	0.0700785404377	0.185166430857	0.157470831341
a0	0.263294600531	0.358011149021	0.057765254082	0.0475030627379	0.0476972884792	0.120700545952	0.105028140447
a31	0.342899066844	0.378275073007	0.0606855913607	0.042603098246	0.0425229154931	0.0700947666507	0.062919540149
a46	0.444259408948	0.346463001002	0.0468451451202	0.0348836254153	0.0357450111644	0.0474108572169	0.044393008383
a18	0.481033156316	0.329387167001	0.0441232463734	0.0352056584718	0.0342675090548	0.0387758050723	0.037207472461
</S>	0.528105828158	0.273416503501	0.0418910181867	0.0386310192359	0.0373213375274	0.0407056025361	0.0399286782305
