 	vuole	andare	a	Lecce	</S>
a20	0.09707934835	0.645007185	0.026112668	0.0300492355	0.20175160685
a31	0.03519832694	0.730084598333	0.0220412496667	0.0109405076457	0.201735373683
a18	0.01602508557	0.851782562778	0.0354684395556	0.0037826817409	0.0929413012943
a46	0.0122767015233	0.645972630926	0.277356634519	0.00619870429363	0.0581953924314
a37	0.00747774540777	0.294717800742	0.340737971273	0.333443477431	0.0236230449105
a23	0.0167446483693	0.363786864014	0.155283253524	0.447016500144	0.0171687690702
a18	0.0259787967898	0.391734432005	0.0986959231747	0.467517041048	0.0160738590234
a38	0.0408392029299	0.153083960335	0.0676035763916	0.710284580349	0.0281887233411
a37	0.12623600431	0.100979299112	0.0834690987972	0.640371680116	0.048943930447
a31	0.196953278103	0.132931116371	0.125932062932	0.442974193372	0.101209335149
a20	0.247317902701	0.156804455457	0.149101220977	0.314853477791	0.131922900383
</S>	0.29442955135	0.149606437729	0.138594110489	0.301490538895	0.115879308191
