 	si	è	rotta	la	coppa	</S>
a31	0.000819312625	0.12572297165	0.17205766	0.246560075	0.43747367	0.0173663301
a20	0.00125696905833	0.06371061165	0.08893761	0.158352611667	0.594632443333	0.0931097634333
a19	0.142397807453	0.0573992672167	0.0418745893333	0.0745549522223	0.555538504444	0.128234901144
a18	0.327181442484	0.0902325057389	0.0439403424444	0.0591395690741	0.400880458148	0.0786256937147
a27	0.257638735495	0.109151205246	0.0694459041481	0.061858521358	0.424573619383	0.0773320312382
a31	0.155815103165	0.209451918415	0.118937184716	0.0666265954527	0.390030723128	0.0591384860794
a39	0.120682982388	0.256033231138	0.161228264905	0.127829495151	0.274397107709	0.0598288896931
a31	0.121827495463	0.194642932046	0.157562551635	0.157045491717	0.258249709236	0.110671768564
a46	0.162586771821	0.193104247349	0.152005070545	0.141842113906	0.195809539745	0.154652216188
a31	0.160184877274	0.175873155783	0.157898926848	0.158073287969	0.180161159915	0.167808558729
a20	0.169976512425	0.172049081928	0.161697352283	0.159606129323	0.169658726638	0.167012179576
</S>	0.174561461212	0.170933035964	0.162426701141	0.160942399662	0.165993923319	0.165142479788
