 	sto	ancora	cucinando	</S>
a20	0.11584642775	0.127269586	0.4643393	0.292544675
a31	0.0432390010833	0.223138956	0.475059463333	0.258562555
a37	0.0473208103611	0.259987433	0.269906684444	0.422785065
a20	0.0510146014537	0.125970725333	0.146741258148	0.676273421667
a31	0.0284363291512	0.0744566967777	0.117693882716	0.779413107222
a30	0.0163246503837	0.0785813039259	0.189482887572	0.715611169074
a46	0.0212580177946	0.269046901309	0.262881665857	0.446813413025
a31	0.0711031035982	0.398205367103	0.269607305286	0.261084184342
a39	0.0897464145327	0.427162322368	0.273314658429	0.209776544781
a15	0.221305298178	0.423478764123	0.20205359781	0.15316232826
a20	0.508561666059	0.281928508041	0.116739798937	0.0927700660867
a22	0.699083445353	0.167463089347	0.071795010979	0.0616584993622
a31	0.590585938451	0.172355739782	0.121208746993	0.115849603787
a46	0.494866459484	0.185815983261	0.161403390331	0.157914201262
</S>	0.563978299742	0.15910661663	0.139427432166	0.137487705631
