 	essendosi	vestito	</S>
a46	0.2127777348	0.095356973	0.69186529
a31	0.126319951467	0.0392230833333	0.834456963333
a18	0.117396795489	0.105973468111	0.776629754444
a31	0.0613192885963	0.251047836037	0.687632908148
a20	0.0235934132988	0.361029968679	0.615376649383
a46	0.0115979334329	0.428858782893	0.559543293128
a20	0.142078834811	0.384022304298	0.473898851043
a31	0.30683492827	0.297808968099	0.395356107014
a0	0.352698939423	0.275940436033	0.371360649005
a46	0.512108493141	0.211475392011	0.276416119668
a35	0.725451631047	0.118480757337	0.156067629889
a46	0.822927210349	0.0765985324457	0.100474293296
a24	0.797281836783	0.0915700308152	0.111148157765
a46	0.776434678928	0.104599426938	0.118965939255
a24	0.749815659643	0.121806715646	0.128377653085
a31	0.566615379881	0.213608678549	0.219775924362
</S>	0.444538879941	0.274278624275	0.281182462181
