 	oggi	io	non	ho	cosa	da	fare	</S>
a46	0.02583463429	0.01996186658	0.0798534659	0.062479417	0.157215495	0.15345686	0.170685115	0.330513135
a27	0.01129425729	0.0309004849133	0.0673479425667	0.0665048486667	0.188096341667	0.11273914	0.134014645	0.389102328333
a8	0.00645875235867	0.0346521125444	0.0713099021889	0.140684802889	0.245390363889	0.117347163333	0.0892171516667	0.294939759444
a28	0.00246882908156	0.0184782310881	0.040223612063	0.145578691963	0.208725060296	0.139722271111	0.289965977222	0.154837328481
a31	0.00303177072719	0.0211405150294	0.0485838593543	0.105623389988	0.117810415765	0.132972723704	0.476112149074	0.094725164827
a24	0.00298769571906	0.0158372839098	0.0452940691181	0.0965481336627	0.106131290255	0.164983091235	0.440457903025	0.127760544942
a31	0.00283203871635	0.0068653377366	0.0243448453727	0.0741723878876	0.0998041884183	0.182386713745	0.423633287675	0.185961238314
a10	0.00274484812878	0.00497034477887	0.0192247264576	0.0572976972959	0.0839479194728	0.170030257915	0.471946852558	0.189837382771
a20	0.00114978784959	0.0184817929263	0.0197952908192	0.0518529457653	0.0593068291576	0.144596099305	0.537582324186	0.16723493759
a31	0.0156175261999	0.0413503229754	0.0280620672731	0.0443716045884	0.0481251990525	0.150743779768	0.551606191395	0.12012331353
a39	0.02045626982	0.0358420803251	0.0338787104244	0.0584874075295	0.0557481530175	0.135009019923	0.577206573798	0.08337176551
a31	0.11971155936	0.0224022624417	0.0343228524748	0.0645178448432	0.0749348443392	0.142776369974	0.480847944599	0.0604862925033
a18	0.167763618787	0.0353027521472	0.111073106492	0.118065380614	0.0959896514464	0.146003896658	0.289309481533	0.0364920898344
a31	0.296249885262	0.0343876888824	0.135718765164	0.138101752871	0.0966317738155	0.102233268886	0.171287852178	0.0253890116115
a17	0.328172597754	0.0340070161275	0.141905458055	0.148606416957	0.0935043879385	0.0816553376287	0.132933795726	0.0392150038705
a31	0.356286835251	0.0373376570425	0.149951100685	0.152228083652	0.0839739369795	0.0619157238762	0.107909771909	0.0503968922902
a8	0.364568801417	0.0518735606808	0.186423214895	0.152100282551	0.0749614449932	0.0519962926254	0.0730437539697	0.0450326710967
</S>	0.187062935208	0.0750682703404	0.274771082447	0.209041606276	0.0863173449966	0.0504941633127	0.0692513769849	0.0479932645483
