 	ancora	non	mi	sono	vestito	</S>
a8	0.141290584201	0.11063645295	0.0202949075	0.020871999	0.03806744385	0.66883865
a31	0.0498078265343	0.0824047062833	0.225829216833	0.0215181026667	0.02497776385	0.595462436667
a10	0.0240913965114	0.137929082094	0.422038438944	0.0492918552222	0.06553967795	0.301109608889
a31	0.0133961280038	0.117921963365	0.317645176315	0.0560857047407	0.15356959265	0.34138147963
a18	0.00582611326793	0.0533632947883	0.185794268772	0.0716098279136	0.197099920883	0.486306606543
a31	0.00332050872264	0.0319851505961	0.118327076257	0.0816172943045	0.154304323628	0.610445658848
a20	0.00227042054088	0.0196641858654	0.066229125419	0.0686925231015	0.0899869425427	0.753156796283
a31	0.0391787836136	0.120511349622	0.0629927851397	0.0618131010338	0.0476919598476	0.667812032094
a13	0.0548399475379	0.184531214541	0.0792625350466	0.0518946670113	0.0261073606159	0.603364297365
a35	0.0292840211793	0.13038821618	0.0824866583489	0.0626997390038	0.0158273482053	0.679314019122
a39	0.0285725037264	0.15944130206	0.12019337945	0.0709267996679	0.0161241160684	0.604741883041
a46	0.0279827742421	0.18368230402	0.25051164315	0.094048126556	0.0190277750228	0.42474737768
a31	0.0309014777474	0.14412369134	0.257138797717	0.137706688852	0.0264268996743	0.403702465893
a20	0.0339589182491	0.150686527113	0.231273902572	0.153556296284	0.0314545645581	0.399069768631
a31	0.0428141474164	0.157237965704	0.220643597524	0.167669992095	0.0567863348527	0.354847922877
a39	0.0577360231388	0.223751205235	0.220800705841	0.151574207365	0.0670257036176	0.279112145959
a31	0.0905714050463	0.274865608412	0.23519788528	0.131367852455	0.0748365545392	0.193160706986
</S>	0.121104672523	0.235755174206	0.17557048264	0.153911526227	0.10010536227	0.213552813493
