 	non	so	cosa	stai	scrivendo	</S>
a31	0.0900549375	0.0350142925	0.093266275	0.167747465	0.289246407	0.3246706185
a21	0.0333573582333	0.0164154751867	0.0753685343333	0.184830203667	0.410039669	0.279988751833
a31	0.0131949567111	0.00583956838223	0.0409875224444	0.103408113222	0.365945923	0.470623900611
a10	0.00631779521703	0.00289698069408	0.0305418598148	0.0545888117407	0.22838051	0.677274050204
a7	0.00246655055234	0.00188622836469	0.0218387046049	0.0268373830469	0.0871898376667	0.859781330068
a41	0.00275189425078	0.00202437818823	0.0176644402016	0.0124660138156	0.0698607145556	0.895232580023
a31	0.0748124230836	0.0139919585961	0.0694500914005	0.0233163372719	0.135105074852	0.683324106674
a8	0.0979811412945	0.016958524212	0.0945842788002	0.0265080612906	0.229087498284	0.534880502225
a31	0.109890454031	0.0310989767507	0.0914667579334	0.0786542042969	0.254373406095	0.434516204075
a8	0.116579064344	0.0369766857502	0.142939135978	0.0994478747656	0.286639168698	0.317418061358
a23	0.098426454448	0.0374421354167	0.279854311993	0.0591120559219	0.270286279566	0.254878790453
a8	0.155519151483	0.0862760971389	0.382059180664	0.0807381316406	0.159844369855	0.135563110151
a31	0.177061223828	0.129241405713	0.300327316888	0.134292879214	0.132439599952	0.126637606717
a21	0.171053447943	0.151336521904	0.260326495629	0.151653478405	0.134191876651	0.131438206906
a31	0.211796092648	0.160997023968	0.244682231876	0.138443714802	0.126912922217	0.117167996969
a24	0.271998500883	0.194642717989	0.203885417292	0.122636626601	0.106799134072	0.100037574323
a21	0.351767166961	0.23217202933	0.183073912431	0.094279273867	0.072780690024	0.0659269241077
a31	0.37390754232	0.211192626443	0.144808457477	0.103188667956	0.0848360186747	0.0820667053692
a17	0.332154734107	0.192274678814	0.163588885826	0.119659765985	0.0980721808916	0.0942497751231
a20	0.391633574702	0.193669219605	0.153978561942	0.105038231995	0.0804257416305	0.0752546783744
a0	0.450604914901	0.204083119868	0.116164403981	0.0909879819983	0.0706980705435	0.0674615604581
a31	0.368821021634	0.199933123289	0.125517651327	0.113088981999	0.0971424935145	0.0954967878194
a8	0.335358943878	0.188603521096	0.144621280442	0.124663314	0.103678210171	0.10307471594
a37	0.353138634626	0.186425467032	0.144957266814	0.122269124667	0.097471019057	0.09573845198
</S>	0.321676007313	0.177782513516	0.141919228407	0.132456027334	0.114188384528	0.11197782099
