 	non	aveva	da	stare	</S>
a37	0.33207812265	0.113378719	0.540605105	0.00393071515	0.010007387803
a38	0.112593975317	0.049415653	0.826298835	0.00834717925	0.00334441151823
a24	0.065126729439	0.0864638816667	0.756125395	0.0904106824167	0.00187333732131
a8	0.230051108146	0.209829917222	0.434963181667	0.113872457806	0.0112833208738
a17	0.366858056049	0.295595115741	0.178696999889	0.041441886402	0.117407920291
a31	0.24685738635	0.327571275247	0.19186215263	0.048609818934	0.185099346764
a20	0.109675161783	0.358841941749	0.300983217543	0.085099832978	0.145399836921
a8	0.0532178359277	0.32936580725	0.281736239181	0.0793425476593	0.25633758364
a31	0.0334563579759	0.255357629083	0.24845564306	0.165454875886	0.297275501213
a20	0.0489650886586	0.316931909694	0.24617500102	0.229918488629	0.158009535071
a31	0.17623173622	0.371493649898	0.199944787007	0.156286029543	0.0960438196903
a8	0.312041825407	0.362181419966	0.161194792336	0.0910963898477	0.0734855875634
a31	0.327255715136	0.333953129989	0.155786280779	0.0873790299492	0.0956258568545
</S>	0.318225107568	0.277278414995	0.15320434539	0.114143479975	0.137148653427
