 	sta	e	dorme	nel	letto	</S>
a33	0.006818893025	0.0117087015	0.016835116	0.1016235455	0.0428024775	0.820211285
a31	0.0353625843583	0.257451048167	0.036254837	0.0400263125667	0.0183141479767	0.6125911
a37	0.0780472481194	0.477145729389	0.050688419	0.0213647245889	0.0116608578022	0.361093038333
a31	0.0634697997065	0.309220696463	0.033490457	0.0185206105296	0.0138749929341	0.561423469444
a13	0.0255334506422	0.111360602621	0.0164331331667	0.0164115125099	0.0134673143114	0.816793996481
a20	0.00923978812073	0.038764806507	0.0069680599889	0.02322481417	0.0280915124371	0.89371098216
a24	0.00656094754024	0.0213951580023	0.00500632576297	0.0250224647233	0.0519452641457	0.890069794053
a28	0.0382376598467	0.0700199600008	0.00374288318766	0.0334817189078	0.0919725680486	0.762545198018
a31	0.100153419949	0.11884345	0.0117132949959	0.120322070303	0.129205712683	0.519762072673
a35	0.0891196965497	0.0814568782	0.0144665417986	0.147046160101	0.121354534228	0.546556197558
a18	0.0492024147499	0.0698098642667	0.0127130383995	0.1192335867	0.142221281409	0.606819805853
a31	0.0553227955833	0.0723868937556	0.0317081401332	0.1962237989	0.194505963803	0.449852385284
a13	0.0562664131944	0.0624469135852	0.0364713767111	0.191306260967	0.209657717934	0.443851305095
a39	0.0718457277315	0.114030671195	0.0385783465704	0.141734154989	0.203118329311	0.430692778365
a31	0.0808646832438	0.117095127065	0.0768615231901	0.186933364996	0.21175338977	0.326491902788
a21	0.155998245081	0.121698015688	0.0766098970634	0.173803604999	0.20015402659	0.271736190929
a31	0.223893275027	0.150270741896	0.0856026383545	0.141979485	0.173152908863	0.225100913643
</S>	0.207336847514	0.139222655948	0.121575019177	0.1566865275	0.170651144431	0.204527746821
