 	stava	ancora	cucinando	</S>
a8	0.23924218105	0.124436057	0.34020673	0.296115
a46	0.0945961337167	0.280352797	0.31074009	0.314310956667
a24	0.0945244872389	0.384155202333	0.190860793333	0.330459512222
a37	0.0995127247463	0.210815740778	0.208214804444	0.481456727407
a20	0.0611820179154	0.115731760926	0.292273394815	0.530812809136
a31	0.0335231643051	0.0669932109753	0.425048011605	0.474435589712
a37	0.0195703347684	0.0504208189918	0.536591713868	0.393417116571
a31	0.0384734972561	0.112895264997	0.526655111289	0.321976145524
a20	0.0443181394187	0.188464611666	0.474302353763	0.292914915175
a31	0.0355521068062	0.238794947222	0.428957601254	0.296695318392
a6	0.0974617022687	0.263839652407	0.350596443751	0.288102159464
a31	0.173019920756	0.254152944136	0.292583917917	0.280243183155
a20	0.349349723585	0.216395624712	0.219928139306	0.214326481052
a46	0.578414971195	0.149696208237	0.137008989769	0.134879809017
a31	0.521251773732	0.164988136079	0.157508973256	0.156251098339
</S>	0.388845041866	0.206821683039	0.202815371628	0.20151788417
