 	venne	scritto	</S>
a29	0.2709842782	0.575277115	0.153738621
a24	0.0919318074067	0.851649661667	0.0564185436667
a37	0.0324300880089	0.945737290556	0.0218326408889
a29	0.170868049003	0.747302956852	0.081829023963
a13	0.312620316334	0.402683942284	0.284695767988
a11	0.279855125445	0.230892580761	0.489252312663
a31	0.250976485148	0.226943183587	0.522080337554
a39	0.348871695049	0.284777547862	0.366350729185
a18	0.573640015016	0.238090965954	0.188268984395
a8	0.730994958339	0.155676935318	0.113328086132
</S>	0.76801875917	0.134818792659	0.097162428066
