 	i	bambini	piccoli	li	vestono	i	genitori	</S>
a31	0.00358690566305	0.0081212372835	0.04694429725	0.096805883	0.09667305	0.06233459	0.09139796	0.59413608
a20	0.00119585634269	0.00271746304697	0.0161175911667	0.0370571968	0.22158982	0.0945092933333	0.0838891743333	0.542923596667
a31	0.00040067647437	0.000907944473557	0.0055210246529	0.0132463763667	0.388039956667	0.120681642778	0.0723342271111	0.398868115556
a29	0.000137809115123	0.000304807367686	0.00188122897497	0.0110547487556	0.417018052222	0.122163512593	0.054837026037	0.392602771852
a31	5.69489522077e-05	0.000106134423295	0.000702444361657	0.0185694769185	0.344898527407	0.122436554198	0.0484437143457	0.464786157284
a20	3.30210200692e-05	3.98996283317e-05	0.000328751967219	0.0273086199728	0.289996675802	0.107060231399	0.0791899047819	0.496042852428
a31	0.000442332472023	0.000103731054677	0.00105434940907	0.0877369199909	0.205429989934	0.0854026327997	0.113241064927	0.506588950809
a18	0.00121801992401	0.000364397508226	0.00453203200302	0.167585909997	0.132126874645	0.0621176732666	0.130169588309	0.50188551027
a20	0.00253787314134	0.00205328984941	0.040632257001	0.164483604999	0.0897854955483	0.0512993597555	0.128189146103	0.521018986757
a31	0.0247680008471	0.0220132862831	0.185314782334	0.100296619666	0.0574536025161	0.0486771485852	0.107345312034	0.454131238919
a28	0.032214907949	0.0273553340277	0.201302590778	0.0616941575553	0.045164295172	0.0591095528617	0.0903402573447	0.48281890964
a31	0.0514148256497	0.0304604986092	0.135895780259	0.0479905405184	0.039290471724	0.0684548442872	0.0801716524482	0.546321423213
a11	0.0634927722166	0.0324305224364	0.116294617086	0.0555882221728	0.038269702908	0.0875131414291	0.0717579354827	0.534653117738
a24	0.0740666490722	0.0322835753788	0.116535812695	0.0587057027243	0.0325612009693	0.092762197143	0.0572991618276	0.535785682579
a38	0.135756546357	0.0532045334596	0.152759070898	0.0447842742414	0.0232234546564	0.101777745714	0.0353114716092	0.453182847526
a31	0.229571405452	0.10549025782	0.106031695633	0.0445129570805	0.0196420625521	0.111731611905	0.0259756408697	0.357044312509
a46	0.208506195151	0.118088517607	0.078508417211	0.0791971846935	0.0422865088507	0.147238150635	0.0496255682899	0.27654939417
a20	0.16193852505	0.165504847536	0.0995438490703	0.0957496932312	0.0499509009502	0.158320726878	0.0583621910966	0.210629188057
a31	0.235066231683	0.280583135845	0.0909332830234	0.0688675884104	0.0275768976501	0.110719298959	0.0336131850322	0.152640334352
a46	0.202748157228	0.295410105282	0.132523997674	0.0719557098035	0.0371616332167	0.0966968583197	0.0417403946774	0.121763126451
a31	0.215926572409	0.326437268427	0.145260144225	0.0655415389345	0.0394308300722	0.0769445031066	0.0429620238925	0.087497098817
a8	0.241087014136	0.368082902809	0.153149933075	0.0536486239782	0.0319707390241	0.0563342480355	0.0339793316308	0.0617471906057
a31	0.262614101379	0.37954291427	0.154825883025	0.0476463523261	0.0295583013414	0.0462103713452	0.0308255905436	0.0487764578686
</S>	0.33946547069	0.400357467135	0.0958493995125	0.0377997826631	0.0219424581707	0.0388826056726	0.0239074032718	0.0417953739343
