 	Marika	è	che	si	sposa	domani	</S>
a27	0.0227662548954	0.007737139141	0.01125254975	0.0867031915	0.65352983	0.141163713	0.076847372
a37	0.0094760296954	0.031482371141	0.0500523624167	0.200492518167	0.577286183333	0.0668576946667	0.0643529153333
a31	0.00853868969847	0.066389977047	0.0972507824722	0.345079169389	0.286123619444	0.0894131998889	0.107204641778
a11	0.00722994939949	0.056650862349	0.0892521858241	0.360669249796	0.218092614815	0.166830279963	0.101274894926
a31	0.0040116475665	0.033911045783	0.0713988439414	0.287880426599	0.181870321605	0.326674666654	0.094253052642
a37	0.0024593642555	0.0205937025943	0.0736803066471	0.169451676866	0.126279230535	0.390622612218	0.216913117547
a31	0.0024486150185	0.0169307255314	0.0777754072157	0.115989800289	0.146498126845	0.316480494073	0.323876849182
a6	0.00350087247283	0.0172924808438	0.0524736835052	0.075789067763	0.175403312282	0.280255308024	0.395285276394
a20	0.00986111449094	0.0144897556146	0.0219280408351	0.036345946921	0.184913044094	0.264216996008	0.468245098798
a31	0.022315459497	0.0137799742049	0.0145801415117	0.0297935409737	0.182484144698	0.259395268669	0.477651479599
a20	0.0275207798323	0.0151336450683	0.0127149735039	0.0335625023246	0.199026721566	0.266777469556	0.4452639232
a31	0.0268009099441	0.0156703313561	0.0112804745013	0.0389237461082	0.227859717189	0.283543123185	0.3959217144
a0	0.0976213933147	0.0653213601187	0.0216733281671	0.0612720640361	0.203736129063	0.242999804395	0.3073759048
a20	0.205748201105	0.0958321510396	0.0318469327224	0.0898606646787	0.172718619688	0.190429338132	0.213564064933
a31	0.215814867035	0.0751437113465	0.0431548122408	0.11388794156	0.174900563229	0.183267799377	0.193830301644
</S>	0.187956683518	0.0759282156733	0.0535862461204	0.12861922078	0.178700401615	0.184211459689	0.190997775822
