 	voglio	che	Maria	viene	domani	</S>
a33	0.1307652528	0.080217297	0.613019295	0.06656559907	0.021489183563	0.087943271295
a31	0.0457346373667	0.0383113113333	0.857214431667	0.0222276438883	0.00717003506224	0.0293418492639
a11	0.0270741946889	0.0513457414444	0.644540042222	0.247473496114	0.0107829691867	0.0187835363902
a31	0.0377442958963	0.0751870171481	0.532256229074	0.327441488371	0.0120314528856	0.0153395658667
a18	0.0343702839654	0.0973797890494	0.489361103025	0.337085499124	0.0143572191185	0.0274461670256
a31	0.0162914435218	0.0886188450165	0.205571951008	0.622383699708	0.0190338988728	0.0481001950085
a42	0.0166366723739	0.109155220339	0.159754283669	0.612248333236	0.0234631051243	0.0787424010028
a37	0.028709868458	0.155091083446	0.151746106223	0.441582431079	0.103737285708	0.119133223668
a31	0.0458342828193	0.160864331149	0.110193640408	0.358418173693	0.187325638569	0.137363941223
a20	0.0799195442731	0.184138063716	0.144936200136	0.264103634564	0.183726009523	0.143176540408
a31	0.122183991424	0.188529674572	0.173873746712	0.199016684855	0.168059713174	0.148336176803
a8	0.180167247141	0.174561878191	0.161820852237	0.172288551618	0.159655874391	0.151505585601
</S>	0.218546863571	0.169239069096	0.154168311118	0.158231200809	0.151976892196	0.1478376428
